"","country","year","N_area","Nt_area","yield","suit","cropsuit","manure_area","netcap_area","netcap14_area","market"
"170","Japan",2006,1093718.16404465,0.0364839774617352,67985949.2001961,43.0108633162,53.86486135,76.4293670567039,0.0885464511242237,0.104484812326584,19237.8339526
"171","Japan",2010,2736829.1465519,0.0912944634019477,67597152.0185004,43.0108633162,53.94309334,79.0434096308259,0.104725236469732,0.11310325538731,18912.023106
"172","Japan",2014,2467798.0335422,0.082320190699688,71179877.9291372,43.0108633162,54.0755518,79.3678241512844,0.0815724285413517,0.0815724285413517,18676.5845445
"173","Jordan",2000,1289720.02974563,0.0435599357490948,29616339.8821704,5.84499034542,42.18509309,76.2808344450192,0.0100106177343388,0.013914758650731,3177.7886238
"174","Jordan",2006,413589.404891436,0.0139688672642625,19166637.0327569,5.84499034542,41.99983841,42.7976920047888,0.0040410217946314,0.00476840571766505,3173.58482295
"175","Jordan",2010,380547.567631201,0.0128528883890862,34747681.8983307,5.84499034542,41.80614172,66.3569778158015,0.00456556773641591,0.00493081315532918,3167.62321723
"176","Jordan",2014,374058.405174492,0.0126337187296559,26949939.4579673,5.84499034542,41.57420657,45.7662504508697,0.00288818430391529,0.00288818430391529,3158.1769093
"177","Kenya",2000,474532.357988661,0.0160271985765231,22221182.4492849,28.4904839206,49.20619047,18.9886687799517,0.000971187489252899,0.00134995061006153,350.56853474
"178","Kenya",2006,663523.179621196,0.0224103110797115,27943972.0350052,28.4904839206,49.31963161,18.2853625620867,0.00124799295485428,0.00147263168672805,346.21732862
"179","Kenya",2010,573624.920279638,0.0193740223421891,28503705.5692273,28.4904839206,49.3497639,19.9830765604435,0.00176578719569988,0.00190705017135587,344.948113845
"180","Kenya",2014,615594.045709597,0.0207915178954956,27023078.3394702,28.4904839206,49.35178431,20.8342322059354,0.00304893558122551,0.00304893558122551,344.331210552
"181","Kuwait",2000,2871769.3024119,0.0969932104752667,81081036.8205626,8.70497691124,8.431150077,1409.13471629486,0.155838991270611,0.216616197866149,31137.8131191
"182","Kuwait",2006,319767.344237641,0.010800053227364,107372799.228552,8.70497691124,8.612169463,1252.69696568291,0.152333562113933,0.179753603294441,29627.8669751
"183","Kuwait",2010,310117.385660743,0.0104741285569733,126410941.403181,8.70497691124,8.640413912,1134.33238447147,0.143576551294044,0.155062675397568,29485.4859977
"184","Kuwait",2014,349105.112771323,0.011790928210209,216699247.65319,8.70497691124,8.680937229,1110.94918345408,0.125942977331152,0.125942977331152,29375.9976526
"185","Lao_People's_Democratic_Republic",2000,436563.882161525,0.0143463150994966,35431295.0165007,40.879030566,47.32458868,44.0634003116613,0.000209184115166281,0.000290765920081131,288.288224923
"186","Lao_People's_Democratic_Republic",2006,992779.037982208,0.0326245974187077,43738021.5332508,40.879030566,47.25003507,47.1998439987896,0.000417815190778796,0.000493021925118979,281.311327968
"187","Lao_People's_Democratic_Republic",2010,811129.229099565,0.0266552410370235,49031338.1879629,40.879030566,47.22856497,43.2460132225117,0.000638028457987089,0.000689070734626056,278.211802628
"188","Lao_People's_Democratic_Republic",2014,944194.910629331,0.0310280310779756,59317978.2623111,40.879030566,47.20354375,41.3593264775359,0.000976294763784046,0.000976294763784046,274.105823015
"189","Latvia",2000,180913.853315119,0.00504521433732387,32973194.9615764,38.2044448341,47.48517779,51.0655884975369,0.00528970443349754,0.00735268916256158,6657.78466657
"190","Latvia",2006,3212086.4497936,0.089576692510081,33740936.2005922,38.2044448341,47.38141364,38.6250295521836,0.00643791635825315,0.00759674130273871,6647.10906193
"191","Latvia",2010,3467757.16672437,0.0967066803084521,42029573.6520063,38.2044448341,47.29807343,35.0620540213773,0.00768102330471351,0.00829550516909059,6649.72235191
"192","Latvia",2014,3612448.36641881,0.100741739546903,49961620.9166335,38.2044448341,47.21217868,31.4077410708899,0.00802043740573152,0.00802043740573152,6659.48273254
"193","Lebanon",2000,1607695.28089896,0.0542994615303398,39621115.7856378,40.1283769335,43.67076956,59.5054148328029,0.0136216232522361,0.0189340563206082,11216.1940992
"194","Lebanon",2006,526857.329454195,0.0177944599530573,41879639.7825946,40.1283769335,43.66797341,46.1231610805565,0.0116389517955354,0.0137339631187318,11212.6120206
"195","Lebanon",2010,441424.660870972,0.0149089953029557,43912492.0088838,40.1283769335,43.39501282,100.247050777332,0.0252025720017194,0.027218777761857,11206.2097324
"196","Lebanon",2014,484037.272584196,0.0163482244267333,54173300.9693445,40.1283769335,43.27324431,93.1067919470521,0.0269230982249176,0.0269230982249176,11201.6678252
"197","Lithuania",2000,965463.304013507,0.0269242471724079,39197291.7016726,42.9859131513,47.20854775,46.0755156523152,0.00217976692988148,0.00302987603253526,8039.42246684
