"","Area","Year","fertilizer","Barley","Cassava","Groundnut","Maize","Millet","Oil_palm","Potato","Rapeseed","Paddy_rice","Rye","Sorghum","Soy","Sugarcane","Sunflower","Wheat","Oil_crops_Nuts","Rapeseed_Mustard","Roots_Tubers_other_than_potato_Yam.","Roots_tubers","Cereals_incl_pulses","Cereals","Oilseeds","Rye_oat_rice","Triticale","Cereals_other","Rye_Oat","Buckwheat_millet","Cereals_mixture","Sunflower_soya_linseed"
"54","Czech Rep","2000","N  ",26300,0,0,28000,0,0,3900,49100,0,3600,0,0,0,500,79600,0,0,0,0,0,0,0,0,2600,0,0,0,0,0
"55","Denmark","1999-2000","N  ",64000,0,0,2000,0,0,5000,8000,0,0,0,0,0,0,96000,0,0,0,0,0,0,0,13000,0,0,0,0,0,0
"56","El Salvador","1998-99","N  ",0,0,0,22400,0,0,0,0,900,0,0,0,9700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","Ethiopia","1995","N  ",7500,0,0,7500,23000,0,0,0,0,0,0,0,0,0,10000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","Fiji","1994","N  ",0,0,0,0,0,0,0,0,900,0,0,0,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","Finland","1999-2000","N  ",45000,0,0,0,0,0,2000,5000,0,0,0,0,0,0,13000,0,0,0,0,0,0,0,29000,0,0,0,0,0,0
"60","France","1999-2000","N  ",186000,0,0,372000,0,0,40000,163000,0,0,0,0,0,0,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,55000
"61","Germany","1999-2000","N  ",308000,0,0,154000,0,0,40000,126000,0,0,0,0,0,0,482000,0,0,0,0,0,0,0,179000,0,0,0,0,0,10000
"62","Greece","1999-2000","N  ",10000,0,0,41000,0,0,10000,0,0,0,0,0,0,0,59000,0,0,0,0,0,0,0,7000,0,0,0,0,0,2000
"63","Hungary","1999-2000","N  ",26600,0,0,13800,0,0,7400,5500,0,0,0,900,0,26000,75600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Ireland","1999-2000","N  ",20000,0,0,0,0,0,2000,0,0,0,0,0,0,0,13000,0,0,0,0,0,0,0,2000,0,0,0,0,0,0
"65","Israel","1997","N  ",500,0,400,5000,0,0,2500,0,0,0,0,0,0,0,6300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","Italy","1999-2000","N  ",25000,0,0,246000,0,0,10000,2000,0,0,0,0,0,0,189000,0,0,0,0,0,0,0,38000,0,0,0,0,0,19000
"67","Japan","1998","N  ",3800,0,500,0,0,0,11000,100,140500,0,0,3300,5100,0,19000,0,0,3700,0,0,0,0,0,0,1400,0,0,0,0
"68","Korea Republic","1996","N  ",11400,0,0,0,0,0,3200,0,115500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4900,0,0,0,0
"69","Kuwait","1999","N  ",100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","Lithuania","1996","N  ",4900,0,0,900,0,0,3400,100,0,0,0,0,0,100,14900,0,0,0,0,0,0,0,0,0,0,4500,0,0,0
"71","Moldova","1999","N  ",0,0,0,100,0,0,0,0,0,0,0,100,0,0,1800,0,0,0,0,0,0,0,0,0,100,0,0,0,0
