Domain Code;Domain;Area Code;Area;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Flag;Flag Description
GU;Manure applied to Soils;8;Antigua and Barbuda;723812;Manure applied to soils that leaches (N content);1755;All Animals;2006;2006;kg;110955.6241;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;8;Antigua and Barbuda;723812;Manure applied to soils that leaches (N content);1755;All Animals;2010;2010;kg;68136.8899;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;8;Antigua and Barbuda;723812;Manure applied to soils that leaches (N content);1755;All Animals;2014;2014;kg;85731.4191;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;8;Antigua and Barbuda;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2000;2000;kg;67191.8958;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;8;Antigua and Barbuda;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2006;2006;kg;73970.416;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;8;Antigua and Barbuda;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2010;2010;kg;45424.5932;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;8;Antigua and Barbuda;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2014;2014;kg;57154.2794;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;9;Argentina;72381;Manure applied to soils (N content);1755;All Animals;2000;2000;kg;159309678.9;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;9;Argentina;72381;Manure applied to soils (N content);1755;All Animals;2006;2006;kg;163600801;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;9;Argentina;72381;Manure applied to soils (N content);1755;All Animals;2010;2010;kg;167155513.6;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;9;Argentina;72381;Manure applied to soils (N content);1755;All Animals;2014;2014;kg;187236520.4;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;9;Argentina;723812;Manure applied to soils that leaches (N content);1755;All Animals;2000;2000;kg;47792903.67;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;9;Argentina;723812;Manure applied to soils that leaches (N content);1755;All Animals;2006;2006;kg;49080240.29;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;9;Argentina;723812;Manure applied to soils that leaches (N content);1755;All Animals;2010;2010;kg;50146654.09;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;9;Argentina;723812;Manure applied to soils that leaches (N content);1755;All Animals;2014;2014;kg;56170956.11;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;9;Argentina;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2000;2000;kg;31861935.78;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;9;Argentina;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2006;2006;kg;32720160.19;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;9;Argentina;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2010;2010;kg;33431102.72;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;9;Argentina;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2014;2014;kg;37447304.08;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;1;Armenia;72381;Manure applied to soils (N content);1755;All Animals;2000;2000;kg;2756526.333;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;1;Armenia;72381;Manure applied to soils (N content);1755;All Animals;2006;2006;kg;4066837.264;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;1;Armenia;72381;Manure applied to soils (N content);1755;All Animals;2010;2010;kg;3543558.055;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;1;Armenia;72381;Manure applied to soils (N content);1755;All Animals;2014;2014;kg;4175504.915;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;1;Armenia;723812;Manure applied to soils that leaches (N content);1755;All Animals;2000;2000;kg;826957.8998;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;1;Armenia;723812;Manure applied to soils that leaches (N content);1755;All Animals;2006;2006;kg;1220051.179;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;1;Armenia;723812;Manure applied to soils that leaches (N content);1755;All Animals;2010;2010;kg;1063067.417;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;1;Armenia;723812;Manure applied to soils that leaches (N content);1755;All Animals;2014;2014;kg;1252651.474;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;1;Armenia;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2000;2000;kg;551305.2665;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;1;Armenia;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2006;2006;kg;813367.4528;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;1;Armenia;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2010;2010;kg;708711.611;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;1;Armenia;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2014;2014;kg;835100.9829;A;Aggregate, may include official, semi-official, estimated or calculated data
