"","Area","Wheat","Rice","Maize","soya","Oil_Palm","Cereals","Oil_crops","sugarcane","Roots","sum_t","Region","kJ_t_N","N_total_kj"
"19","Netherlands",15816.8289803606,0,2939.84480516003,0,0,3381.00264573048,222.813165473785,0,15590.9520575585,37951.4416542834,"Western_Europe",28785498.6882037,1092451173954.81
"20","Poland",243891.355303296,0,45198.7959461817,6.50740169352231,0,182859.518100735,42433.2144242382,0,59764.9826529887,574154.373829133,"Central_European_countries",35858506.9373052,20588318597036.1
"21","Portugal",11732.0292068359,2655.11093596059,15236.49525402,0,0,4863.09880157852,525.50147481287,7.77529431818182,3698.69819640192,38718.709163928,"Western_Europe",28785498.6882037,1114537351847.19
"22","Romania",223336.539714056,583.785615763547,373170.953379708,3928.36789104773,0,24881.4271007311,73216.9463278143,0,28328.799916702,727446.819945823,"Central_European_countries",35858506.9373052,26085156839547.9
"23","Slovakia",39133.4803769581,0,22709.2876107035,266.405057085832,0,14415.5115889065,15619.0003422892,0,1839.69231467365,93983.3772906168,"Central_European_countries",35858506.9373052,3370103586566.95
"24","Slovenia",3596.39492683847,0,5916.07199034048,5.0022883766532,0,1292.63691310513,200.194253221144,0,590.41474415658,11600.7151160385,"Central_European_countries",35858506.9373052,415984323466.166
"25","Spain",215251.573093159,11139.8174055829,51143.2313429871,13.9444322004049,0,237936.722036396,42413.9714690382,37.8397656818182,8726.02970774738,566663.129252793,"Western_Europe",28785498.6882037,16311680763759.7
"26","Sweden",40371.5872237907,0,0,0,0,23732.3765662816,6076.7226947396,0,2819.98093056482,73000.6674153767,"Western_Europe",28785498.6882037,2101360616123.32
"27","United_Kingdom",205823.353023137,0,0,0,0,63848.1243095649,38837.3475291966,0,14109.9116823861,322618.736544285,"Western_Europe",28785498.6882037,9286741217585.44
"28","Argentina",280071,5313,220110,50094,0,33907.8662597294,24002.5366253028,25047,6228.81641517206,644774.219300204,"Latin_America",29607941.5078667,19090437370820.8
"29","Australia",263406,0,6006,0,0,165132.222023409,85944.1758566458,70356,7284.67707840353,598129.074958458,"Oceania",29607941.5078667,17709370665524.4
"30","Bangladesh",14316,1113069,3579,0,0,0,7007.95438196752,8351,19377.8201175357,1165700.7744995,"Other_Asia",30430384.3275296,35472722578918.8
"31","Brazil",68910,163087,675318,87286,4594,59426.4786817207,693.587674994166,535201,116650.225289928,1711166.29164664,"Latin_America",29607941.5078667,50664111473306.9
"32","Canada",590688,0,156462,8790,0,172552.328687183,305975.303091592,0,27142.6744186047,1261610.30619738,"North_America",31170582.8652263,39325128592948.9
"33","Chile",45720,2032,30480,0,0,3533.95956192081,1335.40861088546,0,9757.43144634765,92858.7996191539,"Latin_America",29607941.5078667,2749357907614.62
"34","China,_mainland",4258200,5496400,4862200,453000,6040,194114.546287385,1291057.90166017,398421.791239087,848114.902040318,17807549.141227,"China_",40135209.5995526,714709717237477
"35","Egypt",302400,113400,340200,1260,0,56700,5339.66983491746,32090.1765958335,20392.2376398366,871782.084070588,"Africa",29607941.5078667,25811672952768.1
"37","India",2892330,4131900,344325,137730,0,619785,473031.859420319,688650,109904.946342802,9397656.80576312,"India",35611774.0914063,334667231155403
"38","Indonesia",0,1057500,352500,9400,305500,0,4938.95422142765,47000,60403.6864493374,1837242.64067076,"Other_Asia",30430384.3275296,55907999658536.8
"39","Iran_(Islamic_Republic_of)",414000,86250,63250,2300,0,92000,42063.3291574009,10614.3579729548,47034.6260577147,757512.31318807,"Middle_East",29607941.5078667,22428380260361.2
"40","Malaysia",0,81000,2700,0,351000,0,1.67288568007081,1620,307.896231774285,436629.569117454,"Other_Asia",30430384.3275296,13286805597007.8
"41","Mexico",59360,5600,686560,0,13440,19357.6980216622,423.114399501708,68318.1914070658,4419.11939960436,857478.123227834,"Latin_America",29607941.5078667,25388162116805
"42","Morocco",63280,904,6780,0,0,42478.9409995159,420.509475945676,2800.85166561911,5333.97363136296,121998.275772444,"Africa",29607941.5078667,3612117813131.1
"43","Pakistan",1003971,249006,127152,0,0,15894,25728.5127204722,174238.481943671,13095.3689585475,1609085.36362269,"Other_Asia",30430384.3275296,48965086030841.2
"44","Philippines",0,208000,104000,0,2600,0,85.3877958368976,10400,1498.12819069636,326583.515986533,"Other_Asia",30430384.3275296,9938061906506.12
"46","Russian_Federation",401520,11472,69788,3824,0,153393.355821173,21418.3081669359,0,37267.185882759,698682.849870868,"CIS",32815468.5045522,22927605054608.3
"47","South_Africa",30888,0,205920,429,0,4204.79311196149,18194.5925108168,49335,6180.79768687813,315152.183309656,"Africa",29607941.5078667,9331007409508.78
"48","Thailand",0,310200,72380,1034,31020,2593.52689907212,1814.29183970329,51700,58046.305517606,528788.124256381,"Other_Asia",30430384.3275296,16091225848955.2
"49","Turkey",583905,12663,95676,1407,0,164691.856284143,29063.2719450625,0,27377.9397625459,914784.067991751,"Western_Europe",28785498.6882037,26332515589166.2
"50","United_States_of_America",1603980,227430,5793480,95760,0,339159.865005662,148480.528143406,48814.1728518124,81076.4723137613,8338181.03831464,"North_America",31170582.8652263,259905963000045
"51","Viet_Nam",0,763640,134760,7861,0,0,9932.26935946463,44920,18812.018453624,979925.287813089,"Other_Asia",30430384.3275296,29819503120417.4
"52","World",16614315,15097830,16586556,907206,764993,0,0,0,0,49970900,NA,NA,NA
"53","Afghanistan",63223.2472182056,5583.27805529663,3419.80274516289,0,0,1518.34746900751,85.6392378985602,292.880176006593,123.453291607174,74246.648193185,"Other_Asia",30430384.3275296,2259354039549.5
"54","Albania",1940.15693181891,0,1222.41722798082,1.12250927303719,0,21.5752277450905,16.7920074310902,0,58.7822847987559,3260.8461890477,"Central_European_countries",35858506.9373052,116929075691.452
"55","Algeria",46145.3391853583,9.84052757246031,9.33581187365636,0,0,4975.75322568296,230.967603750249,0,610.013577153949,51981.2499313916,"Africa",29607941.5078667,1539057807474.44
"56","American_Samoa",0,0,0.149772382999835,0,0,0,0,2.4538609341093,0.0925899687053806,2.69622328581452,"Other_Asia",30430384.3275296,82047110.8201705
"57","Angola",103.475036363675,270.230657876357,28018.8183220771,39.2878245563018,233.927011893993,2987.05477156859,2400.09453905452,949.881651913276,5108.9231205609,40111.6929358647,"Africa",29607941.5078667,1187624658226.59
"58","Antigua_and_Barbuda",0,0,0.998482553332231,0,0,0,0,0,0.123453291607174,1.12193584493941,"Latin_America",29607941.5078667,33218210.8725449
"59","Armenia",2591.73923580097,0,63.1789835620969,0,0,303.461333261395,0,0,203.772003126801,3162.15155575126,"CIS",32815468.5045522,103767484784.376
"60","Azerbaijan",14501.3796273918,41.8745854147247,795.491050239788,0.594929914709713,0,1101.68965851031,136.906528278558,0,412.624109203238,16990.5604889531,"CIS",32815468.5045522,557553202599.931
"61","Bahamas",0,0,2.49620638333058,0,0,0,0,182.060649950045,0.0987626332857391,184.655618966661,"Latin_America",29607941.5078667,5467272765.46382
"62","Bahrain",0,0,0,0,0,0,0,0,0.0061726645803587,0.0061726645803587,"Middle_East",29607941.5078667,182759.891842941
"63","Barbados",0,0,7.23899851165867,0,0,0,0.14208621672461,530.350588984912,0.123453291607174,537.855127004902,"Latin_America",29607941.5078667,15924783140.0674
"64","Belarus",9866.78448618098,0,967.255011476765,0,0,7225.66866815488,1525.70887826006,0,9512.14910869601,29097.5661527687,"CIS",32815468.5045522,954850265645.306
"65","Belize",0,101.650556094244,370.786496179924,1.70621409501654,0,13.5426798445347,0.710431083623048,1861.53056733704,0.734547085062686,2350.66149171945,"Latin_America",29607941.5078667,69598247951.6239
"66","Benin",0,911.051396673028,17588.5197975856,108.765536010939,223.756272246428,1146.81151676267,1510.0018928476,137.811996331751,1347.37539726527,22974.0938057233,"Africa",29607941.5078667,680215625596.097
"67","Bermuda",0,0,0,0,0,0,0,0,0.246906583214348,0.246906583214348,"Latin_America",29607941.5078667,7310395.67371763
"68","Bhutan",174.614123863702,921.450252051018,754.927696510666,7.25702245018546,0,70.8725415372213,0,32.4542897737036,40.5976149450191,2002.17354113152,"Other_Asia",30430384.3275296,60926910347.043
"69","Bolivia_(Plurinational_State_of)",3344.57186286489,5876.36525771186,8861.73235733421,5332.58132739776,0,1206.41889965886,1373.9349649406,9171.26566283133,1060.47612023479,36227.3464529743,"Latin_America",29607941.5078667,1072617154764.88
"70","Bosnia_and_Herzegovina",1897.42174180071,0,4901.62574049942,35.6677321507568,0,156.34081035716,17.7995278769556,0,251.042268483188,7259.89782116819,"Central_European_countries",35858506.9373052,260329096384.486
"71","Botswana",4.94093298636549,0,1507.03467980817,0,0,336.730285465374,65.1659057614232,0,0,1913.87180402133,"Africa",29607941.5078667,56665804427.0189
"72","Brunei_Darussalam",0,38.2105591909363,2.09681336199768,0,0,0,0,0,1.11725228904492,41.4246248419789,"Other_Asia",30430384.3275296,1260567254.56515
"73","Burkina_Faso",0,1542.38056277569,11126.390636547,28.7979753997692,0,15636.5238608778,4011.95933236487,356.205619467479,18.5056484119154,32720.7636358445,"Africa",29607941.5078667,968794455822.815
"74","Burundi",258.687590909188,715.357500834881,2870.63734083016,21.3276761877067,55.9390680616071,459.177661998238,161.461609914329,199.950087727745,462.949843526902,5205.48837999076,"Africa",29607941.5078667,154123795474.646
"75","Cabo_Verde",0,0,730.464873954027,0,0,0,0,116.835443185333,3.20978558178653,850.510102721146,"Africa",29607941.5078667,25181853373.2174
"76","Cambodia",0,87811.5290469954,2628.4304354556,361.346960083403,138.759401011728,0,175.618563871617,656.684848689378,594.575743038473,92366.9449991456,"Other_Asia",30430384.3275296,2810761635483.79
"77","Cameroon",14.0984737045508,1744.7743922802,14034.5459593187,68.1082501415318,732.293254624674,3795.86867251877,3060.67919446482,9023.87569317612,1843.18233435343,34317.4262245828,"Africa",29607941.5078667,1016068348357.98
"78","Cayman_Islands",0,0,0,0,0,0,0,0,0.0185179937410761,0.0185179937410761,"Latin_America",29607941.5078667,548279.675528822
"79","Central_African_Republic",0,872.387196140098,3629.40919517116,0,30.5122189426948,355.703506459142,1821.05445511536,1021.12277580677,1189.66998990169,8919.85933753691,"Africa",29607941.5078667,264098673524.191
"80","Chad",48.2452357045636,3821.19550104501,4304.78279424508,0,0,12009.0693100424,6277.21405174773,307.919968828554,543.44138965478,27311.8682512681,"Africa",29607941.5078667,808648197654.107
"81","China,_Taiwan_Province_of",1.73320685909156,9184.1434460845,490.978833537291,0.477066441040808,0,11.3692389110764,316.865180224673,869.141711500648,16.86371963354,10891.5724031919,"China_",40135209.5995526,437135541270.808
"82","Colombia",440.881261186529,15001.9540751914,15066.1531713577,153.222515769577,1678.17204184821,286.153396588475,29.218092930097,32459.0391819632,1871.41610214399,66986.2098389792,"Latin_America",29607941.5078667,1983323782746.18
"83","Comoros",0,593.223293375267,49.9241276666115,0,0,0,14.0794523845295,0,67.5412958382849,724.768169264693,"Africa",29607941.5078667,21458893562.3526
"84","Congo",0,64.5566525143673,287.063734083016,0,109.843988193701,68.8766492997357,547.238605250437,1187.3520648916,762.949717842596,3027.88141207545,"Africa",29607941.5078667,89649335741.4868
"85","Cook_Islands",0,0,0,0,0,0,0,0,0.370359874821522,0.370359874821522,"Other_Asia",30430384.3275296,11270193.3303147
