"","Country","Year","Area_harvested_ha","production_kj","code_Area_Year"
"140","Honduras","2014",606183,32294944183320,"Honduras 2014"
"141","Hungary","2000",3105930,153442314887904,"Hungary 2000"
"142","Hungary","2006",3403233,227550937937040,"Hungary 2006"
"143","Hungary","2010",3264596,197648004410244,"Hungary 2010"
"144","Hungary","2014",3539060,271273311012960,"Hungary 2014"
"145","India","2000",128262300,3801332220733152,"India 2000"
"146","India","2006",128637300,3963186644635152,"India 2006"
"147","India","2010",128241790,4419197425217520,"India 2010"
"148","India","2014",130199260,4862949395825160,"India 2014"
"149","Indonesia","2000",20625584,1172436372925164,"Indonesia 2000"
"150","Indonesia","2006",22297170,1592506420544520,"Indonesia 2006"
"151","Indonesia","2010",26235990,2007687436589592,"Indonesia 2010"
"152","Indonesia","2014",28547810,2380489951714524,"Indonesia 2014"
"153","Iran_(Islamic_Republic_of)","2000",7370042,192687516762228,"Iran_(Islamic_Republic_of) 2000"
"154","Iran_(Islamic_Republic_of)","2006",9920284,338360501022300,"Iran_(Islamic_Republic_of) 2006"
"155","Iran_(Islamic_Republic_of)","2010",9425133,295062426045828,"Iran_(Islamic_Republic_of) 2010"
"156","Iran_(Islamic_Republic_of)","2014",8979523,269007311941416,"Iran_(Islamic_Republic_of) 2014"
"157","Ireland","2000",276719,29980099139688,"Ireland 2000"
"158","Ireland","2006",271312,28455965691552,"Ireland 2006"
"159","Ireland","2010",273002,28125328862052,"Ireland 2010"
"160","Ireland","2014",306393,35880189364800,"Ireland 2014"
"161","Israel","2000",106136,4568036819580,"Israel 2000"
"162","Israel","2006",131700,5861968490016,"Israel 2006"
"163","Israel","2010",103300,5670739916928,"Israel 2010"
"164","Israel","2014",107662,7812058177872,"Israel 2014"
"165","Italy","2000",4578414,315936897160464,"Italy 2000"
"166","Italy","2006",4030443,299165839601760,"Italy 2006"
"167","Italy","2010",3666464,273956605844688,"Italy 2010"
"168","Italy","2014",3664876,292024375904520,"Italy 2014"
"169","Japan","2000",2287273,166012563581280,"Japan 2000"
"170","Japan","2006",2245683,152674890357744,"Japan 2006"
"171","Japan","2010",2171631,146796070835088,"Japan 2010"
"172","Japan","2014",2113635,150448281286752,"Japan 2014"
"173","Jordan","2000",36731,1087837780212,"Jordan 2000"
"174","Jordan","2006",69329,1328803778844,"Jordan 2006"
"175","Jordan","2010",50261,1746453239892,"Jordan 2010"
"176","Jordan","2014",68756,1852970037372,"Jordan 2014"
"177","Kenya","2000",2140112,47555819213904,"Kenya 2000"
"178","Kenya","2006",2666233,74505140390808,"Kenya 2006"
"179","Kenya","2010",2823364,80476336170756,"Kenya 2010"
"180","Kenya","2014",2954946,79851737246904,"Kenya 2014"
"181","Kuwait","2000",2062,167189097924,"Kuwait 2000"
"182","Kuwait","2006",2914,312884336952,"Kuwait 2006"
"183","Kuwait","2010",3207,405399889080,"Kuwait 2010"
"184","Kuwait","2014",4279,927256080708,"Kuwait 2014"
"185","Lao_People's_Democratic_Republic","2000",808570,28648682211492,"Lao_People's_Democratic_Republic 2000"
"186","Lao_People's_Democratic_Republic","2006",908775,39748020518880,"Lao_People's_Democratic_Republic 2006"
"187","Lao_People's_Democratic_Republic","2010",1135639,55681899868440,"Lao_People's_Democratic_Republic 2010"
"188","Lao_People's_Democratic_Republic","2014",1333081,79075669779900,"Lao_People's_Democratic_Republic 2014"
"189","Latvia","2000",406000,13387117154400,"Latvia 2000"
"190","Latvia","2006",540400,18233601922800,"Latvia 2006"
"191","Latvia","2010",570700,23986277683200,"Latvia 2010"
"192","Latvia","2014",663000,33124554667728,"Latvia 2014"
"193","Lebanon","2000",66299,2626840355472,"Lebanon 2000"
"194","Lebanon","2006",92730,3883498997040,"Lebanon 2006"
"195","Lebanon","2010",55832,2451722253840,"Lebanon 2010"
"196","Lebanon","2014",72222,3912504142608,"Lebanon 2014"
"197","Lithuania","2000",1027931,40292111256192,"Lithuania 2000"
"198","Lithuania","2006",988900,27725244994800,"Lithuania 2006"
"199","Lithuania","2010",1094500,43389428691600,"Lithuania 2010"
"200","Lithuania","2014",1274300,73873724644800,"Lithuania 2014"
"201","Luxembourg","2000",26510,1929498293700,"Luxembourg 2000"
"202","Luxembourg","2006",28940,2245485551868,"Luxembourg 2006"
"203","Luxembourg","2010",28871,2263355567892,"Luxembourg 2010"
"204","Luxembourg","2014",26817,2206484211960,"Luxembourg 2014"
"205","Madagascar","2000",1923968,47324171064276,"Madagascar 2000"
"206","Madagascar","2006",2089697,65582274266280,"Madagascar 2006"
"207","Madagascar","2010",2165492,80505821877228,"Madagascar 2010"
"208","Madagascar","2014",1755378,71084483341488,"Madagascar 2014"
"209","Malawi","2000",2122881,62217296925876,"Malawi 2000"
"210","Malawi","2006",2612039,68031026571672,"Malawi 2006"
"211","Malawi","2010",2722167,91420555380336,"Malawi 2010"
"212","Malawi","2014",2735355,101097496674432,"Malawi 2014"
"213","Malaysia","2000",4132623,470508588034344,"Malaysia 2000"
"214","Malaysia","2006",4850453,641742339241656,"Malaysia 2006"
"215","Malaysia","2010",5547748,672059614322556,"Malaysia 2010"
"216","Malaysia","2014",5317036,758829599206668,"Malaysia 2014"
"217","Malta","2000",4706,261720343044,"Malta 2000"
"218","Malta","2006",3920,226386556200,"Malta 2006"
"219","Malta","2010",4081,266305558932,"Malta 2010"
"220","Malta","2014",4398,277225905636,"Malta 2014"
"221","Mauritania","2000",211030,2429774797032,"Mauritania 2000"
"222","Mauritania","2006",254445,2245627986804,"Mauritania 2006"
"223","Mauritania","2010",293039,3673700458704,"Mauritania 2010"
"224","Mauritania","2014",223913,4613006191680,"Mauritania 2014"
"225","Mexico","2000",11011943,474621629806764,"Mexico 2000"
"226","Mexico","2006",10865372,543270441075948,"Mexico 2006"
"227","Mexico","2010",10967974,586841271376752,"Mexico 2010"
"228","Mexico","2014",11356231,623712621206700,"Mexico 2014"
"229","Morocco","2000",5557066,33636868681608,"Morocco 2000"
"230","Morocco","2006",5690142,135558968134572,"Morocco 2006"
"231","Morocco","2010",5178386,115777277694360,"Morocco 2010"
"232","Morocco","2014",4834873,103227746836500,"Morocco 2014"
"233","Myanmar","2000",8413652,281952950713776,"Myanmar 2000"
"234","Myanmar","2006",10735477,421017406704000,"Myanmar 2006"
"235","Myanmar","2010",11105932,458121411818316,"Myanmar 2010"
"236","Myanmar","2014",9730360,396216303215760,"Myanmar 2014"
"237","Netherlands","2000",391100,46833494558400,"Netherlands 2000"
"238","Netherlands","2006",367020,40886861101200,"Netherlands 2006"
"239","Netherlands","2010",365661,44500600931724,"Netherlands 2010"
"240","Netherlands","2014",342727,43776255768408,"Netherlands 2014"
"241","New_Zealand","2000",145516,13176529488000,"New_Zealand 2000"
"242","New_Zealand","2006",125115,12425785169040,"New_Zealand 2006"
"243","New_Zealand","2010",143585,14992847482680,"New_Zealand 2010"
"244","New_Zealand","2014",150480,16487264071116,"New_Zealand 2014"
"245","Nicaragua","2000",549603,17611234019064,"Nicaragua 2000"
"246","Nicaragua","2006",563905,21494335270104,"Nicaragua 2006"
"247","Nicaragua","2010",568607,23378328281304,"Nicaragua 2010"
"248","Nicaragua","2014",584515,24531819397920,"Nicaragua 2014"
"249","Nigeria","2000",27338414,571589907332256,"Nigeria 2000"
"250","Nigeria","2006",29186000,758947934880000,"Nigeria 2006"
"251","Nigeria","2010",26225427,673046282351304,"Nigeria 2010"
"252","Nigeria","2014",30229446,729378128575080,"Nigeria 2014"
"253","Norway","2000",255559,13758224555664,"Norway 2000"
"254","Norway","2006",264895,14074393772160,"Norway 2006"
"255","Norway","2010",244248,13760156345184,"Norway 2010"
"256","Norway","2014",228246,14492309429952,"Norway 2014"
"257","Pakistan","2000",14306751,484271566994484,"Pakistan 2000"
"258","Pakistan","2006",14602655,516398322481380,"Pakistan 2006"
"259","Pakistan","2010",14943191,553543440003900,"Pakistan 2010"
"260","Pakistan","2014",15744929,662375190463236,"Pakistan 2014"
"261","Paraguay","2000",2071498,74299069821060,"Paraguay 2000"
"262","Paraguay","2006",3762812,118244582087364,"Paraguay 2006"
"263","Paraguay","2010",4659741,202132297819188,"Paraguay 2010"
"264","Paraguay","2014",5486036,237513667184640,"Paraguay 2014"
"265","Philippines","2000",7191753,249825954988296,"Philippines 2000"
"266","Philippines","2006",7392865,312499305844920,"Philippines 2006"
"267","Philippines","2010",7506648,317191146005556,"Philippines 2010"
"268","Philippines","2014",8088630,385569003865392,"Philippines 2014"
"269","Poland","2000",7702960,312655261088556,"Poland 2000"
"270","Poland","2006",6249292,256001350340808,"Poland 2006"
"271","Poland","2010",5850971,316778230308060,"Poland 2010"
"272","Poland","2014",5981272,402225245593524,"Poland 2014"
"273","Portugal","2000",578130,23488133349636,"Portugal 2000"
"274","Portugal","2006",345095,16835064268536,"Portugal 2006"
"275","Portugal","2010",257477,14325371079480,"Portugal 2010"
"276","Portugal","2014",264008,19208229133428,"Portugal 2014"
"277","Republic_of_Korea","2000",1282407,91443745856196,"Republic_of_Korea 2000"
"278","Republic_of_Korea","2006",1149148,81189614407500,"Republic_of_Korea 2006"
"279","Republic_of_Korea","2010",1064842,74446908911028,"Republic_of_Korea 2010"
"280","Republic_of_Korea","2014",973642,72773077978008,"Republic_of_Korea 2014"
"281","Republic_of_Moldova","2000",1228598,32014453285440,"Republic_of_Moldova 2000"
"282","Republic_of_Moldova","2006",1247750,39404693079900,"Republic_of_Moldova 2006"
"283","Republic_of_Moldova","2010",1240789,42535029001752,"Republic_of_Moldova 2010"
"284","Republic_of_Moldova","2014",1325069,52455526374564,"Republic_of_Moldova 2014"
"285","Romania","2000",6460212,168996027563964,"Romania 2000"
"286","Romania","2006",6401894,262081459944972,"Romania 2006"
"287","Romania","2010",6425564,282932095104792,"Romania 2010"
"288","Romania","2014",6853749,373046294108880,"Romania 2014"
"289","Russian_Federation","2000",43288696,937039005652464,"Russian_Federation 2000"
"290","Russian_Federation","2006",45432192,1176137254298808,"Russian_Federation 2006"
"291","Russian_Federation","2010",38680392,938020117839480,"Russian_Federation 2010"
"292","Russian_Federation","2014",49638199,1612846663557264,"Russian_Federation 2014"
"293","Saudi_Arabia","2000",631906,31554985521708,"Saudi_Arabia 2000"
"294","Saudi_Arabia","2006",623236,44142547763520,"Saudi_Arabia 2006"
"295","Saudi_Arabia","2010",299981,23157106184772,"Saudi_Arabia 2010"
"296","Saudi_Arabia","2014",253531,13465559699424,"Saudi_Arabia 2014"
"297","Slovakia","2000",975774,36014435924832,"Slovakia 2000"
"298","Slovakia","2006",964268,50009172226344,"Slovakia 2006"
"299","Slovakia","2010",932385,45142083168444,"Slovakia 2010"
"300","Slovakia","2014",997006,79758300808116,"Slovakia 2014"
"301","Slovenia","2000",107861,7564201125120,"Slovenia 2000"
"302","Slovenia","2006",98991,7297655578812,"Slovenia 2006"
"303","Slovenia","2010",97844,8552335831776,"Slovenia 2010"
"304","Slovenia","2014",101625,9695072524572,"Slovenia 2014"
"305","South_Africa","2000",6191778,261024926156604,"South_Africa 2000"
"306","South_Africa","2006",4133864,183766312964772,"South_Africa 2006"
"307","South_Africa","2010",4655584,260014427867088,"South_Africa 2010"
"308","South_Africa","2014",4965597,302311623057156,"South_Africa 2014"
"309","Spain","2000",7293317,350255110810932,"Spain 2000"
"310","Spain","2006",6396691,267129104334192,"Spain 2006"
"311","Spain","2010",6211473,279578881835028,"Spain 2010"
"312","Spain","2014",6574438,295092058625244,"Spain 2014"
"313","Sri_Lanka","2000",929890,36804492453600,"Sri_Lanka 2000"
"314","Sri_Lanka","2006",1011033,42901784559360,"Sri_Lanka 2006"
"315","Sri_Lanka","2010",1180770,55871484871320,"Sri_Lanka 2010"
"316","Sri_Lanka","2014",1024195,46628845072308,"Sri_Lanka 2014"
"317","Sweden","2000",928393,63357253416000,"Sweden 2000"
"318","Sweden","2006",808400,51231091564800,"Sweden 2006"
"319","Sweden","2010",866100,56669799193200,"Sweden 2010"
"320","Sweden","2014",927200,76340641633200,"Sweden 2014"
"321","Switzerland","2000",200034,17999570604744,"Switzerland 2000"
"322","Switzerland","2006",187546,15700298866128,"Switzerland 2006"
"323","Switzerland","2010",176763,14840388677592,"Switzerland 2010"
"324","Switzerland","2014",171401,16732233571644,"Switzerland 2014"
"325","Syrian_Arab_Republic","2000",3097185,51291796145472,"Syrian_Arab_Republic 2000"
"326","Syrian_Arab_Republic","2006",3191197,90386322289092,"Syrian_Arab_Republic 2006"
"327","Syrian_Arab_Republic","2010",3215373,56937695149980,"Syrian_Arab_Republic 2010"
"328","Syrian_Arab_Republic","2014",2576925,39616356042144,"Syrian_Arab_Republic 2014"
"329","Thailand","2000",13873315,559451320356564,"Thailand 2000"
"330","Thailand","2006",13863878,627788301818112,"Thailand 2006"
"331","Thailand","2010",16057141,744343781284512,"Thailand 2010"
"332","Thailand","2014",15288335,816272938839996,"Thailand 2014"
"333","Togo","2000",887530,15539740277760,"Togo 2000"
"334","Togo","2006",985714,18468614375568,"Togo 2006"
"335","Togo","2010",1118553,21878459139492,"Togo 2010"
"336","Togo","2014",1496626,26652792071736,"Togo 2014"
"337","Turkey","2000",14227315,474156099724104,"Turkey 2000"
"338","Turkey","2006",13668617,510281613378864,"Turkey 2006"
"339","Turkey","2010",12763431,490083059674908,"Turkey 2010"
