"","ITEM","kcal_100g","kj_100g","kj_t"
"178","BROAD BEANS,GREEN",23,96.2964,962964
"179","STRING BEANS",27,113.0436,1130436
"180","CARROTS",38,159.0984,1590984
"181","OKRA",31,129.7908,1297908
"182","MAIZE, GREEN",56,234.4608,2344608
"183","SWEET CORN FROZEN",54,226.0872,2260872
"184","SWEET CORN PREPARED",77,322.3836,3223836
"185","MUSHROOMS",24,100.4832,1004832
"186","MUSHROOMS CANNED",24,100.4832,1004832
"187","MUSHROOMS DRIED",296,1239.2928,12392928
"188","VEGETABLES NES FRESH",22,92.1096,921096
"189","VEGETABLES NES DRIED",176,736.8768,7368768
"190","VEGETABLES NES CANNED",36,150.7248,1507248
"191","VEGETABLES NES JUICE",19,79.5492,795492
"192","VEGETABLES DEHYDRATED",341,1427.6988,14276988
"193","VEGETABLES PREPARED BY VINEGAR",29,121.4172,1214172
"194","VEGETABLES PREPARED NES",38,159.0984,1590984
"195","VEGETABLES FROZEN",71,297.2628,2972628
"196","VEGETABLES PROVISIONALLY PRESERVED",65,272.142,2721420
"197","VEGETABLES PREPARED OR PRES.FROZEN",54,226.0872,2260872
"198","HOMOGENIZED VEGETABLES PREPARED",41,171.6588,1716588
"199","FRUITS AND PRODUCTS",NA,NA,NA
"200","BANANAS",60,251.208,2512080
"201","PLANTAINS",75,314.01,3140100
"202","ORANGES",34,142.3512,1423512
"203","ORANGE JUICE",42,175.8456,1758456
"204","ORANGE JUICE CONCENTRATED",159,665.7012,6657012
"205","TANGERINES, MANDARINES, CLEMENTINES",32,133.9776,1339776
"206","TANGERINES JUICE",43,180.0324,1800324
"207","LEMONS AND LIMES",15,62.802,628020
"208","LEMON JUICE",22,92.1096,921096
"209","LEMON JUICE CONCENTRATED",116,485.6688,4856688
"210","GRAPEFRUIT AND POMELO",16,66.9888,669888
"211","GRAPEFRUIT JUICE",39,163.2852,1632852
"212","GRAPEFRUIT JUICE CONCENTRATED",146,611.2728,6112728
"213","CITRUS FRUIT NES",26,108.8568,1088568
"214","CITRUS FRUIT NES JUICE",47,196.7796,1967796
"215","FRUIT COOKED HOMOGENIZED",59,247.0212,2470212
"216","Dried fruits",NA,NA,NA
"217","APRICOTS DRIED",238,996.4584,9964584
"218","PLUMS DRIED",208,870.8544,8708544
"219","RAISINS",299,1251.8532,12518532
"220","FIGS DRIED",253,1059.2604,10592604
"221","DATES",156,653.1408,6531408
"222","FRUIT TROPICAL NES DRIED",267,1117.8756,11178756
"223","FRUIT NES DRIED",267,1117.8756,11178756
"224","STIMULANTS",NA,NA,NA
"225","COFFEE GREEN",47,196.7796,1967796
"226","COFFEE ROASTED",56,234.4608,2344608
