"","Area","Wheat","Rice","Maize","soya","Oil_Palm","Cereals","Oil_crops","Roots","sugarcane"
"83","Central_African_Republic",NA,308.414242823371,2187.83735858811,NA,16.9891572382749,231.952485127268,913.11461971677,1429.45140939072,1581.96875760435
"84","Chad",16.078324688071,6523.10098013047,6288.88344718968,NA,NA,12671.6523311333,6948.36863558844,204.638349935846,398.743311949135
"85","China,_Taiwan_Province_of",57.1013170995961,9127.19608379927,593.830259801315,3.07719529216996,NA,13.4177861389594,194.232183239948,17.7280344297119,726.969317926558
"86","Colombia",113.427152301054,15532.6086941658,11121.283011471,165.440706172144,6982.77252076203,71.9765091509126,14.0473652128462,1782.78423280348,36736.0363364218
"87","Comoros",NA,805.56763086183,69.4212971743289,NA,NA,NA,10.0197362341949,65.152865320013,NA
"88","Congo",NA,63.2048841335809,287.316651529864,NA,295.097591969616,91.7919510520047,453.489494467074,787.868464160559,1750.11132093431
"89","Cook_Islands",NA,NA,NA,NA,NA,NA,NA,0.175409311639629,NA
"90","Costa_Rica",NA,1546.78548357807,136.863526643339,NA,1977.40565161059,NA,1.74919298627395,88.2425777088429,5788.37184927539
"91","Côte_d'Ivoire",NA,28461.4590181958,9085.78988691006,1.07333308843653,6866.87493163805,805.061404683723,699.677194509579,3816.49148590745,2368.7404142316
"92","Cuba",NA,5777.40457142607,4088.35806564636,NA,NA,23.9595090118789,48.4391903891247,416.702360731104,37108.5875061528
"93","Democratic_People's_Republic_of_Korea",775.481898138471,17678.5104795578,11694.0911743136,1381.97393360926,NA,920.870501286004,NA,756.131072707896,NA
"94","Democratic_Republic_of_the_Congo",162.980445592102,13676.1293803392,33209.8115980158,202.689510262692,4523.69374200221,446.821500273491,4395.40801679095,10715.3981824646,4170.68653410095
"95","Djibouti",NA,NA,0.175917129361619,NA,NA,NA,NA,NA,NA
"96","Dominica",NA,NA,2.57278801691368,NA,NA,NA,NA,0.947210282853999,21.979420043131
"97","Dominican_Republic",NA,5494.04330345373,532.50115057762,NA,89.8797629941069,7.12963979978211,37.8453600466143,151.775830384717,9711.60674605743
"98","Ecuador",157.216030149273,11924.9466422641,10680.2807578026,122.152675991723,6918.02043344369,140.437189459572,159.293174616681,303.914173346822,8873.45819507937
"99","El_Salvador",NA,239.047135036916,6979.09430424,12.2074364135485,NA,470.5389358241,NA,14.4361863479415,7307.88242159052
"100","Equatorial_Guinea",NA,NA,NA,NA,89.3711055917633,NA,NA,137.193469610409,NA
"101","Eritrea",646.234915115392,NA,417.803182233845,NA,NA,2017.27884391571,27.1887381610068,0.760107017105061,NA
"102","Ethiopia",43009.3892936068,1576.99048148314,46505.3643594729,162.428002996875,NA,18919.1879653557,849.766922952326,393.864068355624,2763.54574675634
"103","Faroe_Islands",NA,NA,NA,NA,NA,NA,NA,0.660708407175937,NA
"104","Fiji",NA,42.0580182647003,21.4618897821175,NA,NA,0.0461092307180734,3.66882016095407,45.1562037930953,3480.07484016241
"105","French_Guiana",NA,60.2753023969684,6.59689235106071,NA,NA,NA,NA,34.9064530162862,9.15809168463792
"106","French_Polynesia",NA,NA,NA,NA,NA,NA,NA,1.57283682770201,3.66323667385517
"107","Gabon",NA,20.5744188628758,599.459607940887,21.5541867845258,106.894353102499,NA,160.961635618973,357.016418957192,429.606080926365
"108","Gambia",NA,2232.07189647232,807.085799869937,NA,89.1930755009431,738.11656533492,726.821081568374,17.8332800166957,NA
"109","Georgia",907.313820822011,NA,2750.90411039232,3.44111509468707,NA,116.137624871147,21.6092610458151,105.830284689243,NA
"110","Ghana",NA,7542.83113794465,22407.4443524362,NA,8877.08898569979,2242.06134366632,2996.05362777179,5197.06801409832,549.485501078275
"111","Grenada",NA,NA,8.83983575042135,NA,NA,NA,NA,0.152021403421012,14.744527612267
"112","Guadeloupe",NA,NA,NA,NA,NA,NA,NA,0.485299095536308,965.17128264399
"113","Guam",NA,NA,0.439792823404047,NA,NA,NA,NA,NA,NA
"114","Guatemala",19.8781859889495,376.535436537933,19101.4777196256,69.0986966804632,2924.78006347546,160.771360206243,22.5690746331551,143.420500173616,24322.0598960614
"115","Guinea",NA,50991.72726047,13340.7194844207,NA,7918.19348367183,1488.34256738717,1928.59739512256,1060.17387954992,514.135267175572
"116","Guinea-Bissau",NA,2862.23503002364,292.858041104755,NA,242.222654996003,129.209591779721,320.299661337866,28.550788957877,22.2541627936701
"117","Guyana",NA,6242.66929389474,63.6160319053954,NA,NA,NA,4.48511022121525,4.32676302044419,4667.42142707571
"118","Haiti",NA,1873.38333718041,8534.24570707905,NA,NA,798.19112930673,378.274196057294,818.266897867707,2134.29326710487
"119","Honduras",55.8088472693653,269.117439528811,7991.45340443377,2.58889783562802,3306.27311523313,185.791381524637,1.39038416857673,26.1301404572501,5970.34313104915
"120","Iceland",NA,NA,NA,NA,NA,NA,NA,3.50818623279259,NA
"121","Iraq",54528.1389145896,2658.47756923925,1859.75191232869,0.156623712475717,NA,6733.97072733648,21.7796952342213,150.530424272075,50.003180598123
"122","Israel",1592.32283084433,NA,211.056575951602,NA,NA,86.6680627884588,34.7775446553031,102.614447309183,NA
"123","Jamaica",NA,0.202040119766375,49.9384750975296,NA,NA,NA,17.9942622075156,12.0155378473146,2719.95323033746
"124","Jordan",595.001411045044,NA,12.8639400845684,NA,NA,223.422277444425,NA,37.3563364021864,NA
"125","Kazakhstan",308205.147451666,3208.29608183015,2765.02146002359,536.086115166148,NA,11513.2674187647,9078.81393110656,1082.29299374768,NA
"126","Kenya",3805.28967416548,955.986500027896,46533.1812555532,10.1529018322494,NA,2154.920661263,319.438520175393,1048.5325482341,6610.31057797165
"127","Kuwait",0.336042155860004,NA,34.3917987901965,NA,NA,5.04896076362904,NA,10.6765801017988,NA
"128","Kyrgyzstan",8763.64338267304,271.474574259419,2022.65117411755,2.35856884669314,NA,896.0810261212,271.268436399541,461.279713795788,NA
"129","Lao_People's_Democratic_Republic",NA,32253.5500260909,5351.9488162097,50.5341801723121,NA,NA,227.036279397916,359.647558631787,3120.16183695614
"130","Lebanon",951.257795049857,NA,21.9896411702024,NA,NA,82.0167941397731,20.4431323882991,104.719359048859,0.274742750539137
"131","Lesotho",357.548853835044,NA,2918.61910359745,NA,NA,135.682175041771,NA,44.8463140091986,NA
"132","Liberia",NA,6144.30942892181,147.638450816739,36.2998486561367,442.252178467607,NA,72.0398403731594,392.039811514572,2394.47465186543
"133","Libya",6501.48513761331,NA,32.7645653436015,NA,NA,1119.49753991178,89.702204424305,82.6060918281561,NA
"134","Madagascar",53.404853385136,32621.1620240058,4904.19574270204,0.368526382295804,46.0080620419749,13.832769215422,475.421683448817,2412.29901739284,8395.68055189181
