"","X.2","X.1","X","Area","Item","Year","Area_harvested_ha","Production_t","kj_t_crop"
"202",4773,63980,63980,"Austria","POTATOES",2006,21920,654621,2805156
"203",4774,63984,63984,"Austria","POTATOES",2010,21973,671722,2805156
"204",4775,63988,63988,"Austria","POTATOES",2014,21384,750637,2805156
"205",4788,64186,64186,"Austria","RAPESEED",2000,51762,125353,20682792
"206",4789,64192,64192,"Austria","RAPESEED",2006,42582,137303,20682792
"207",4790,64196,64196,"Austria","RAPESEED",2010,53804,170584,20682792
"208",4791,64200,64200,"Austria","RAPESEED",2014,52816,198286,20682792
"209",4800,64354,64354,"Austria","RYE",2000,52473,182781,13355892
"210",4801,64360,64360,"Austria","RYE",2006,26924,93786,13355892
"211",4802,64364,64364,"Austria","RYE",2010,45699,161148,13355892
"212",4803,64368,64368,"Austria","RYE",2014,48241,232530,13355892
"213",4804,64410,64410,"Austria","SORGHUM",2000,NA,NA,14360724
"214",4805,64416,64416,"Austria","SORGHUM",2006,NA,NA,14360724
"215",4806,64420,64420,"Austria","SORGHUM",2010,1167,7897,14360724
"216",4807,64424,64424,"Austria","SORGHUM",2014,2795,18526,14360724
"217",4808,64439,64439,"Austria","SOYBEANS",2000,15537,32843,14025780
"218",4809,64445,64445,"Austria","SOYBEANS",2006,25013,64960,14025780
"219",4810,64449,64449,"Austria","SOYBEANS",2010,34378,94544,14025780
"220",4811,64453,64453,"Austria","SOYBEANS",2014,43832,118132,14025780
"221",4828,64717,64717,"Austria","SUNFLOWER SEED",2000,22336,54960,12895344
"222",4829,64723,64723,"Austria","SUNFLOWER SEED",2006,34621,84620,12895344
"223",4830,64727,64727,"Austria","SUNFLOWER SEED",2010,25411,66498,12895344
"224",4831,64731,64731,"Austria","SUNFLOWER SEED",2014,20540,57747,12895344
"225",4872,65319,65319,"Austria","WHEAT",2000,293806,1312962,13983912
"226",4873,65325,65325,"Austria","WHEAT",2006,284577,1396300,13983912
"227",4874,65329,65329,"Austria","WHEAT",2010,302852,1517805,13983912
"228",4875,65333,65333,"Austria","WHEAT",2014,304645,1804018,13983912
"229",4888,65419,65419,"Azerbaijan","BARLEY",2000,108480,219463,13900176
"230",4889,65425,65425,"Azerbaijan","BARLEY",2006,179912,399737,13900176
"231",4890,65429,65429,"Azerbaijan","BARLEY",2010,264624,513302,13900176
"232",4891,65433,65433,"Azerbaijan","BARLEY",2014,335802,681759,13900176
"233",5008,66167,66167,"Azerbaijan","MAIZE",2000,31870,103527,14905008
"234",5009,66173,66173,"Azerbaijan","MAIZE",2006,31868,145883,14905008
"235",5010,66177,66177,"Azerbaijan","MAIZE",2010,29870,136061,14905008
"236",5011,66181,66181,"Azerbaijan","MAIZE",2014,37578,203596,14905008
