"","X.1","X","Area","Item","Year","Area_harvested_ha","Production_t"
"1009",13924,13924,"Albania","Onions, shallots, green",2000,1000,12500
"1010",13930,13930,"Albania","Onions, shallots, green",2006,596,13299
"1011",13934,13934,"Albania","Onions, shallots, green",2010,2297,33415
"1012",13938,13938,"Albania","Onions, shallots, green",2014,1541,26770
"1013",13980,13980,"Albania","Oranges",2000,489,2600
"1014",13986,13986,"Albania","Oranges",2006,524,3670
"1015",13990,13990,"Albania","Oranges",2010,370,6631
"1016",13994,13994,"Albania","Oranges",2014,222,4120
"1017",14036,14036,"Albania","Peaches and nectarines",2000,230,2000
"1018",14042,14042,"Albania","Peaches and nectarines",2006,900,7540
"1019",14046,14046,"Albania","Peaches and nectarines",2010,1008,11525
"1020",14050,14050,"Albania","Peaches and nectarines",2014,1064,14420
"1021",14092,14092,"Albania","Pears",2000,256,2750
"1022",14098,14098,"Albania","Pears",2006,450,4760
"1023",14102,14102,"Albania","Pears",2010,563,7326
"1024",14106,14106,"Albania","Pears",2014,650,10370
"1025",14148,14148,"Albania","Peas, green",2000,NA,NA
"1026",14154,14154,"Albania","Peas, green",2006,300,1914
"1027",14158,14158,"Albania","Peas, green",2010,347,3071
"1028",14162,14162,"Albania","Peas, green",2014,411,4100
"1029",14204,14204,"Albania","Plums and sloes",2000,2400,12100
"1030",14210,14210,"Albania","Plums and sloes",2006,2000,18000
"1031",14214,14214,"Albania","Plums and sloes",2010,2198,26083
"1032",14218,14218,"Albania","Plums and sloes",2014,2272,33180
"1033",14260,14260,"Albania","Potatoes",2000,11400,161000
"1034",14266,14266,"Albania","Potatoes",2006,9523,162600
"1035",14270,14270,"Albania","Potatoes",2010,9000,208000
"1036",14274,14274,"Albania","Potatoes",2014,9600,240000
"1037",14316,14316,"Albania","Pulses, nes",2000,1470,450
"1038",14322,14322,"Albania","Pulses, nes",2006,1267,600
"1039",14326,14326,"Albania","Pulses, nes",2010,900,600
"1040",14330,14330,"Albania","Pulses, nes",2014,1200,700
"1041",14372,14372,"Albania","Pulses,Total",2000,30311,27559
"1042",14378,14378,"Albania","Pulses,Total",2006,22287,26903
"1043",14382,14382,"Albania","Pulses,Total",2010,20350,26600
"1044",14386,14386,"Albania","Pulses,Total",2014,22400,32953
"1045",14428,14428,"Albania","Pumpkins, squash and gourds",2000,400,6200
"1046",14434,14434,"Albania","Pumpkins, squash and gourds",2006,241,5374
"1047",14438,14438,"Albania","Pumpkins, squash and gourds",2010,488,9726
"1048",14442,14442,"Albania","Pumpkins, squash and gourds",2014,516,11520
"1049",14484,14484,"Albania","Quinces",2000,444,845
"1050",14490,14490,"Albania","Quinces",2006,500,1500
"1051",14494,14494,"Albania","Quinces",2010,276,3195
"1052",14498,14498,"Albania","Quinces",2014,800,4090
"1053",14540,14540,"Albania","Rice, paddy",2000,NA,NA
"1054",14546,14546,"Albania","Rice, paddy",2006,NA,NA
"1055",14550,14550,"Albania","Rice, paddy",2010,NA,NA
"1056",14554,14554,"Albania","Rice, paddy",2014,0,0
"1057",14596,14596,"Albania","Roots and Tubers,Total",2000,11400,161000
"1058",14602,14602,"Albania","Roots and Tubers,Total",2006,9523,162600
"1059",14606,14606,"Albania","Roots and Tubers,Total",2010,9000,208000
"1060",14610,14610,"Albania","Roots and Tubers,Total",2014,9600,240000
"1061",14652,14652,"Albania","Rye",2000,1300,1500
"1062",14658,14658,"Albania","Rye",2006,1349,2600
"1063",14662,14662,"Albania","Rye",2010,1100,2300
"1064",14666,14666,"Albania","Rye",2014,1375,3070
"1065",14708,14708,"Albania","Seed cotton",2000,990,940
"1066",14714,14714,"Albania","Seed cotton",2006,1080,1000
"1067",14718,14718,"Albania","Seed cotton",2010,740,746
"1068",14722,14722,"Albania","Seed cotton",2014,740,830
"1069",14764,14764,"Albania","Sorghum",2000,NA,NA
"1070",14770,14770,"Albania","Sorghum",2006,NA,NA
"1071",14774,14774,"Albania","Sorghum",2010,NA,NA
"1072",14778,14778,"Albania","Sorghum",2014,0,0
"1073",14801,14801,"Albania","Soybeans",2000,400,600
"1074",14807,14807,"Albania","Soybeans",2006,200,400
"1075",14811,14811,"Albania","Soybeans",2010,300,500
"1076",14815,14815,"Albania","Soybeans",2014,207,350
"1077",14857,14857,"Albania","Spices, nes",2000,200,150
"1078",14863,14863,"Albania","Spices, nes",2006,300,200
"1079",14867,14867,"Albania","Spices, nes",2010,336,264
"1080",14871,14871,"Albania","Spices, nes",2014,400,350
"1081",14913,14913,"Albania","Spinach",2000,600,6200
"1082",14919,14919,"Albania","Spinach",2006,283,6311
"1083",14923,14923,"Albania","Spinach",2010,1153,13768
"1084",14927,14927,"Albania","Spinach",2014,1254,18490
"1085",14969,14969,"Albania","Sugar beet",2000,1400,42000
"1086",14975,14975,"Albania","Sugar beet",2006,2000,50000
"1087",14979,14979,"Albania","Sugar beet",2010,2000,40000
"1088",14983,14983,"Albania","Sugar beet",2014,1893,36416
"1089",15025,15025,"Albania","Sunflower seed",2000,1900,2900
"1090",15031,15031,"Albania","Sunflower seed",2006,1300,2200
"1091",15035,15035,"Albania","Sunflower seed",2010,1300,2600
"1092",15039,15039,"Albania","Sunflower seed",2014,686,2000
"1093",15081,15081,"Albania","Tangerines, mandarins, clementines, satsumas",2000,NA,NA
"1094",15087,15087,"Albania","Tangerines, mandarins, clementines, satsumas",2006,100,1070
"1095",15091,15091,"Albania","Tangerines, mandarins, clementines, satsumas",2010,271,5037
"1096",15095,15095,"Albania","Tangerines, mandarins, clementines, satsumas",2014,491,13904
"1097",15137,15137,"Albania","Tobacco, unmanufactured",2000,5700,6200
"1098",15143,15143,"Albania","Tobacco, unmanufactured",2006,1800,2000
"1099",15147,15147,"Albania","Tobacco, unmanufactured",2010,1200,1700
"1100",15151,15151,"Albania","Tobacco, unmanufactured",2014,1500,3000
"1101",15193,15193,"Albania","Tomatoes",2000,5400,162000
"1102",15199,15199,"Albania","Tomatoes",2006,7385,164853
"1103",15203,15203,"Albania","Tomatoes",2010,6161,199283
"1104",15207,15207,"Albania","Tomatoes",2014,6297,234150
"1105",15249,15249,"Albania","Treenuts,Total",2000,2048,7103
"1106",15255,15255,"Albania","Treenuts,Total",2006,2108,8602
"1107",15259,15259,"Albania","Treenuts,Total",2010,2485,10256
"1108",15263,15263,"Albania","Treenuts,Total",2014,3628,15446
"1109",15305,15305,"Albania","Vegetables Primary",2000,19717,376831
"1110",15311,15311,"Albania","Vegetables Primary",2006,21879,477588
"1111",15315,15315,"Albania","Vegetables Primary",2010,29401,604658
"1112",15319,15319,"Albania","Vegetables Primary",2014,29966,700468
"1113",15361,15361,"Albania","Vegetables, fresh nes",2000,647,6831
"1114",15367,15367,"Albania","Vegetables, fresh nes",2006,300,3500
"1115",15371,15371,"Albania","Vegetables, fresh nes",2010,1333,14949
"1116",15375,15375,"Albania","Vegetables, fresh nes",2014,1310,20300
"1117",15417,15417,"Albania","Vegetables, leguminous nes",2000,20,100
"1118",15423,15423,"Albania","Vegetables, leguminous nes",2006,20,100
"1119",15427,15427,"Albania","Vegetables, leguminous nes",2010,21,103
"1120",15431,15431,"Albania","Vegetables, leguminous nes",2014,19,95
"1121",15473,15473,"Albania","Vetches",2000,6200,1700
"1122",15479,15479,"Albania","Vetches",2006,5800,1800
"1123",15483,15483,"Albania","Vetches",2010,5600,1800
"1124",15487,15487,"Albania","Vetches",2014,6437,2046
"1125",15529,15529,"Albania","Watermelons",2000,8300,250000
"1126",15535,15535,"Albania","Watermelons",2006,7576,169107
"1127",15539,15539,"Albania","Watermelons",2010,5488,199364
"1128",15543,15543,"Albania","Watermelons",2014,5748,216270
"1129",15585,15585,"Albania","Wheat",2000,112000,341100
"1130",15591,15591,"Albania","Wheat",2006,75000,230900
"1131",15595,15595,"Albania","Wheat",2010,73900,294900
"1132",15599,15599,"Albania","Wheat",2014,69998,280000
"1133",15641,15641,"Algeria","Almonds, with shell",2000,27150,26483
"1134",15647,15647,"Algeria","Almonds, with shell",2006,39098,53673
"1135",15651,15651,"Algeria","Almonds, with shell",2010,54485,56973
"1136",15655,15655,"Algeria","Almonds, with shell",2014,39050,64827
"1137",15697,15697,"Algeria","Apples",2000,13480,96517
"1138",15703,15703,"Algeria","Apples",2006,28658,283242
"1139",15707,15707,"Algeria","Apples",2010,52419,378637
"1140",15711,15711,"Algeria","Apples",2014,40418,462815
"1141",15753,15753,"Algeria","Apricots",2000,13390,56354
"1142",15759,15759,"Algeria","Apricots",2006,27362,167017
"1143",15763,15763,"Algeria","Apricots",2010,49495,198467
"1144",15767,15767,"Algeria","Apricots",2014,38590,216941
"1145",15809,15809,"Algeria","Artichokes",2000,4140,39480
"1146",15815,15815,"Algeria","Artichokes",2006,1713,25595
"1147",15819,15819,"Algeria","Artichokes",2010,3112,47582
"1148",15823,15823,"Algeria","Artichokes",2014,4705,81106
"1149",15865,15865,"Algeria","Bananas",2000,49,1378
"1150",15871,15871,"Algeria","Bananas",2006,1,11
"1151",15875,15875,"Algeria","Bananas",2010,16,507
"1152",15879,15879,"Algeria","Bananas",2014,14,391
"1153",15921,15921,"Algeria","Barley",2000,215630,163287
"1154",15927,15927,"Algeria","Barley",2006,812280,1235880
"1155",15931,15931,"Algeria","Barley",2010,1018792,1503900
"1156",15935,15935,"Algeria","Barley",2014,791843,939401
"1157",15977,15977,"Algeria","Beans, dry",2000,1280,419
"1158",15983,15983,"Algeria","Beans, dry",2006,1496,915
"1159",15987,15987,"Algeria","Beans, dry",2010,1214,845
"1160",15991,15991,"Algeria","Beans, dry",2014,1633,1343
"1161",16033,16033,"Algeria","Beans, green",2000,5990,25523
"1162",16039,16039,"Algeria","Beans, green",2006,7766,35508
"1163",16043,16043,"Algeria","Beans, green",2010,9599,53487
"1164",16047,16047,"Algeria","Beans, green",2014,11456,79570
"1165",16089,16089,"Algeria","Broad beans, horse beans, dry",2000,34250,12895
"1166",16095,16095,"Algeria","Broad beans, horse beans, dry",2006,33537,24299
"1167",16099,16099,"Algeria","Broad beans, horse beans, dry",2010,34210,36625
"1168",16103,16103,"Algeria","Broad beans, horse beans, dry",2014,37499,41389
"1169",16131,16131,"Algeria","Cabbages and other brassicas",2000,2040,18616
"1170",16137,16137,"Algeria","Cabbages and other brassicas",2006,2916,39062
"1171",16141,16141,"Algeria","Cabbages and other brassicas",2010,2965,50982
"1172",16145,16145,"Algeria","Cabbages and other brassicas",2014,3740,85201
"1173",16187,16187,"Algeria","Carobs",2000,1210,3952
"1174",16193,16193,"Algeria","Carobs",2006,1028,3711
"1175",16197,16197,"Algeria","Carobs",2010,875,2829
"1176",16201,16201,"Algeria","Carobs",2014,788,3655
"1177",16243,16243,"Algeria","Carrots and turnips",2000,18230,230280
"1178",16249,16249,"Algeria","Carrots and turnips",2006,24227,339584
"1179",16253,16253,"Algeria","Carrots and turnips",2010,25828,448887
"1180",16257,16257,"Algeria","Carrots and turnips",2014,18042,386814
"1181",16287,16287,"Algeria","Cauliflowers and broccoli",2000,3660,43822
"1182",16293,16293,"Algeria","Cauliflowers and broccoli",2006,4476,59126
"1183",16297,16297,"Algeria","Cauliflowers and broccoli",2010,5262,87929
"1184",16301,16301,"Algeria","Cauliflowers and broccoli",2014,6967,155761
"1185",16343,16343,"Algeria","Cereals (Rice Milled Eqv)",2000,1058185,NA
"1186",16349,16349,"Algeria","Cereals (Rice Milled Eqv)",2006,2672233,NA
"1187",16353,16353,"Algeria","Cereals (Rice Milled Eqv)",2010,2856567,NA
"1188",16357,16357,"Algeria","Cereals (Rice Milled Eqv)",2014,2509193,NA
"1189",16399,16399,"Algeria","Cereals,Total",2000,1058185,934656
"1190",16405,16405,"Algeria","Cereals,Total",2006,2672233,4018105
"1191",16409,16409,"Algeria","Cereals,Total",2010,2856567,4211354
"1192",16413,16413,"Algeria","Cereals,Total",2014,2509193,3435535
"1193",16455,16455,"Algeria","Cherries",2000,2260,4168
"1194",16461,16461,"Algeria","Cherries",2006,2440,5003
"1195",16465,16465,"Algeria","Cherries",2010,3719,5073
"1196",16469,16469,"Algeria","Cherries",2014,2736,8700
"1197",16511,16511,"Algeria","Chick peas",2000,19480,6661
"1198",16517,16517,"Algeria","Chick peas",2006,21252,12706
