"","Area","N_t_Wheat","N_t_Rice","N_t_Maize","N_t_soya","N_t_palm","N_t_Cereals","N_t_oil_crops","N_t_sugarcane","N_t_Roots"
"75","Panama",NA,3326.30769241866,1395.35440621796,0.75208121293492,56.9561420263636,2.80404492260257,NA,1958.02271181056,23.2771181325326
"76","Papua_New_Guinea",NA,12.9113305028734,594.097119232677,NA,732.293254624675,6.93052151176007,13.330270514527,554.097630282744,68.8252100709995
"77","Peru",3795.17977746961,10018.9482018149,13979.3797982471,12.0725872315151,101.605689079174,953.950776354579,70.7718528576488,5051.54978167912,2255.64595427758
"78","Puerto_Rico",NA,NA,6.49013659665949,NA,NA,NA,NA,NA,0.499985831009055
"79","Qatar",0.931275327273077,NA,5.69135055399372,NA,NA,8.45499134959422,NA,NA,0.0185179937410761
"80","Réunion",NA,1.39581951382416,41.711608665454,NA,NA,NA,11.9481591336603,1926.9140877104,1.24687824523246
"81","Romania",216158.994996746,140.430607553366,424630.488679607,2007.73262862592,NA,30115.0319660114,59420.4226408186,NA,28166.3858269111
"82","Russian_Federation",371851.652342174,12309.2650448143,51812.7386199794,1591.94479898288,NA,171736.142846667,15217.1532420815,NA,49470.6114999272
"83","Rwanda",259.799947550098,148.864151149346,2222.94667054738,165.811457266689,NA,1097.09788189032,173.900612342129,158.313608652213,1416.29319730498
"84","Saint_Kitts_and_Nevis",NA,NA,NA,NA,NA,NA,0.322923219828658,NA,0.0802446395446631
"85","Saint_Lucia",NA,NA,NA,NA,NA,NA,NA,NA,2.04932464067909
"86","Saint_Vincent_and_the_Grenadines",NA,NA,0.998482553332229,NA,NA,NA,3.22923219828658,57.7844671580577,0.2839425706965
"87","Samoa",NA,NA,0.998482553332231,NA,NA,NA,NA,0.0791568043261063,0.148143949928608
"88","Sao_Tome_and_Principe",NA,NA,24.9620638333058,NA,11.1878136123214,NA,NA,NA,3.64187210241163
"89","Senegal",NA,3009.80561765903,1765.19234397222,NA,66.1098077091719,6168.39679548187,14149.0746307246,625.33875417624,172.27906843781
"90","Serbia",14585.7261507528,NA,26034.3968868663,685.914846202266,NA,630.558562064822,1702.69533895931,NA,556.635024098202
"91","Seychelles",NA,NA,NA,NA,NA,NA,NA,NA,0.0864173041250218
"92","Sierra_Leone",NA,6393.34191014447,239.336268033736,NA,221.722124316915,62.6563225718662,245.757487218402,91.0303249750222,286.967176340875
"93","Slovenia",4288.36718265538,NA,7129.31298938869,0.61975254224022,NA,896.605979887694,9.85779459368871,NA,895.829286388085
"94","Solomon_Islands",NA,33.9533096737726,NA,NA,91.5366568280841,NA,NA,NA,0.864173041250216
"95","Somalia",67.2587736363889,34.8954878456039,4547.58878915165,NA,NA,2140.33728521266,27.1255504656073,490.77218682186,43.2086520625109
"96","South_Sudan",588.482259759878,47.1222794626777,443.394461383081,NA,NA,9512.21799747856,4690.32506560222,1243.90200188332,33.3449027130759
"97","Sudan",1790.92620142283,143.40708417432,1349.38096312494,NA,NA,28948.5029714938,14274.0514499193,3785.56303138882,101.478437051119
"98","Suriname",NA,1465.43601207613,0.524203340499421,0.190826576416323,5.59390680616071,NA,2.6221365450087,237.470412978319,1.18515159942887
"99","Swaziland",5.17375181818377,1.7447743922802,1710.72512068794,NA,NA,5.66931353347158,71.1722776502363,2889.22335790288,18.5179937410761
"100","Tajikistan",8875.62298161242,754.789402100413,348.969652389615,2.24501854607438,NA,222.076684448828,27.3580551838839,NA,157.223939526317
"101","The_former_Yugoslav_Republic_of_Macedonia",3132.78433218755,134.766374059722,925.992719960311,NA,NA,340.287381753654,89.8759905427122,NA,81.5408991065385
"102","Timor-Leste",NA,593.223293375268,1372.91351083182,5.61254636518598,NA,NA,51.6677151725853,NA,66.6647774678739
"103","Tonga",NA,NA,NA,NA,NA,NA,6.96222461950588,NA,4.32086520625109
"104","Trinidad_and_Tobago",NA,97.707365967691,9.33581187365635,NA,NA,NA,NA,1978.92010815266,1.4197128534825
"105","Tunisia",18573.7690272797,NA,NA,NA,NA,2294.54751121816,226.950438895582,NA,127.774156813425
"106","Turkmenistan",18108.1313636432,2442.68414919228,249.620638333058,NA,NA,275.506597198943,NA,NA,29.4806460357931
"107","Uganda",181.081313636432,2512.47512488348,15701.1381511493,594.929914709713,NA,4065.25290089107,3590.90620449468,1583.13608652213,2894.97968818823
"108","Ukraine",133524.186923687,879.366293709219,31923.9834364148,340.12030973027,NA,28824.7246727187,38728.8276004906,NA,2252.60287555776
"109","United_Arab_Emirates",1.44865050909145,NA,4.3184370431619,NA,NA,NA,NA,NA,5.3023188745281
"110","Uzbekistan",35072.8635754677,1716.85800200371,1228.13354059864,NA,NA,421.21897527305,188.587160379936,NA,4633.76520509194
"111","Vanuatu",NA,NA,35.346282387961,NA,NA,NA,25.8338575862927,NA,NA
"112","Wallis_and_Futuna_Islands",NA,NA,0.249620638333058,NA,NA,NA,NA,0.0791568043261063,1.48761216386645
"113","Western_Sahara",NA,NA,NA,NA,NA,15.9181589492722,NA,NA,NA
"114","Yemen",2259.2222064463,NA,804.42746909211,NA,NA,3061.3252278046,NA,NA,104.935297866098
