"","country","year","N_area","Nt_area","yield","cropsuit","manure_area","netcap_area","netcap14_area","market","IFA_Region"
"241","New_Zealand",2000,2665439.08403923,0.0900244646636796,90550382.6933121,41.63025949,373.070019035707,0.0367746502102862,0.0511167637922978,4684.017893,"IFA"
"245","Nicaragua",2000,824234.047249305,0.0278382759919433,32043555.1098957,66.46626683,68.7724915075063,0.000644137677559984,0.000895351371808378,599.3262999,"IFA"
"249","Nigeria",2000,75053.0131885178,0.00253489467238297,20907939.5510016,53.14536398,4.33162780401233,0.000221081222926831,0.000307302899868295,438.0735897,"IFA"
"253","Norway",2000,3192762.52727956,0.110915657979827,53835805.2569622,26.0885471,192.415959093595,0.0603452431728094,0.0838798880102051,28586.34279,"IFA"
"257","Pakistan",2000,2760839.19103181,0.0907263990265854,33849164.4255557,37.06494661,29.4778141801727,0.00227239084541277,0.00315862327512375,586.9369811,"IFA"
"261","Paraguay",2000,222970.955087922,0.00753078207171815,35867314.2919086,46.56417709,18.4546151577264,0.000682568846313151,0.00094877069637528,283.4587156,"IFA"
"265","Philippines",2000,1353589.3051912,0.0444815054132143,34737838.6032301,57.47327435,19.592650581854,0.00212379095889417,0.00295206943286289,500.0712329,"IFA"
"277","Republic_of_Korea",2000,3136530.99417692,0.10307234244621,71306337.1115379,42.44285959,66.0309751896239,0.0291429397999231,0.0405086863218931,19310.74902,"IFA"
"281","Republic_of_Moldova",2000,53830.4255417979,0.00164039789754427,26057712.3562304,68.53050604,24.6406278701414,0.000592016265694719,0.000822902609315659,1472.068783,"IFA"
"293","Saudi_Arabia",2000,2764443.68144017,0.0933683174396192,49936201.7795495,19.17768956,21.089549853934,0.0116872604469652,0.0162452920212816,3143.373114,"IFA"
"305","South_Africa",2000,1414939.27789041,0.0477891810720604,42156699.7648501,41.66683332,8.68539977046981,0.00227807586124696,0.00316652544713328,2236.962571,"IFA"
"313","Sri_Lanka",2000,2788145.63518859,0.0916237404424179,39579404.5033284,65.69102,11.237305713579,0.00202878835131037,0.00282001580832141,1554.954967,"IFA"
"321","Switzerland",2000,5013079.30634967,0.174152942794214,89982555.9892018,38.9919807,383.138936180849,0.080809412399892,0.11232508323585,34185.41365,"IFA"
"325","Syrian_Arab_Republic",2000,1064942.74122351,0.035968145267396,16560778.9478097,36.80208829,1.78968525128463,0.00190227577622906,0.00264416332895839,2505.335079,"IFA"
