Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"CS","Capital Stock","12","Bahamas","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","230.85","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","12","Bahamas","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","253.75","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","13","Bahrain","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","57.22","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","13","Bahrain","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","112.5","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","13","Bahrain","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","117.25","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","13","Bahrain","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","143.51","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","16","Bangladesh","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","7564.06","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","16","Bangladesh","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","9484.98","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","16","Bangladesh","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","13094.9","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","16","Bangladesh","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","18589.79","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","14","Barbados","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","209.25","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","14","Barbados","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","207.13","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","14","Barbados","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","209.4","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","14","Barbados","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","191.93","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","57","Belarus","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","163793555.7","Cv","Calculated through value",""
"CS","Capital Stock","57","Belarus","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","204390997.9","Cv","Calculated through value",""
"CS","Capital Stock","57","Belarus","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","268025250.9","Cv","Calculated through value",""
"CS","Capital Stock","57","Belarus","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","266581387.5","Cv","Calculated through value",""
"CS","Capital Stock","255","Belgium","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","5692.37","Cv","Calculated through value",""
"CS","Capital Stock","255","Belgium","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","7910.02","Cv","Calculated through value",""
"CS","Capital Stock","255","Belgium","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","9898.22","Cv","Calculated through value",""
"CS","Capital Stock","255","Belgium","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","11882.36","Cv","Calculated through value",""
"CS","Capital Stock","23","Belize","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","72.12","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","23","Belize","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","102.23","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","23","Belize","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","126.77","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","23","Belize","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","153.29","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","53","Benin","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","341.13","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","53","Benin","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","569.14","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","53","Benin","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","666.52","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","53","Benin","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","770.67","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","17","Bermuda","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","50.74","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","17","Bermuda","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","73.46","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","17","Bermuda","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","83.6","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","17","Bermuda","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","87.21","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","18","Bhutan","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","36.81","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","18","Bhutan","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","85.47","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","18","Bhutan","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","149.46","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","18","Bhutan","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","240.79","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","19","Bolivia (Plurinational State of)","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","1043","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","19","Bolivia (Plurinational State of)","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","1260.2","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","19","Bolivia (Plurinational State of)","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","1848.17","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","19","Bolivia (Plurinational State of)","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","2927.45","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","80","Bosnia and Herzegovina","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","383.4","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","80","Bosnia and Herzegovina","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","794.04","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","80","Bosnia and Herzegovina","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","796.1","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","80","Bosnia and Herzegovina","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","852.64","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","20","Botswana","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","79.97","Cv","Calculated through value",""
"CS","Capital Stock","20","Botswana","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","150.46","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","20","Botswana","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","219.18","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","20","Botswana","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","254.51","IM","FAO data based on imputation methodology",""
