"","Country","Year","Area_harvested_ha","N_total_kj","N_total_t","production_kj","code_Area_Year","suitability","market","net_capital_stocks","net_capital_stocks14","Manure_kg"
"70","Costa_Rica",2006,176188,198191746096.538,6693.87117114776,15523978859820,"Costa_Rica 2006",59.11021155,3133.77,2539.4,2996.492,31332940.17
"71","Costa_Rica",2010,214815,243610275476.156,8227.8693846862,16233569530596,"Costa_Rica 2010",59.11021155,3133.77,4268.61,4610.0988,36068258.45
"72","Costa_Rica",2014,208401,282442538506.683,9539.41828180251,16281268905636,"Costa_Rica 2014",59.11021155,3133.77,5807.31,5807.31,39596015.38
"73","Croatia",2000,703487,2456307725205.41,68500,37068175317276,"Croatia 2000",56.04028958,8713.458704,NA,NA,34377663.12
"74","Croatia",2006,677706,496989041456.605,13859.7248994649,49522638349728,"Croatia 2006",56.04028958,8713.458704,NA,NA,37729424.04
"75","Croatia",2010,659676,414267496946.379,11552.8373133517,49175101376424,"Croatia 2010",56.04028958,8713.458704,NA,NA,32446051.74
"76","Croatia",2014,600476,2554112709735,71227.5252899011,49495732256340,"Croatia 2014",56.04028958,8713.458704,NA,NA,32155130.24
"77","Cyprus",2000,57930,164744851564.989,4594.30315526042,1009755676800,"Cyprus 2000",0,0,860.56,1196.1784,6125052.051
"78","Cyprus",2006,58763,163580623003.581,4561.83586476662,1291849532928,"Cyprus 2006",0,0,1429,1686.22,6588355.168
"79","Cyprus",2010,36318,112595819856.592,3140.00301388606,1138646817216,"Cyprus 2010",0,0,1443.22,1558.6776,6710370.964
"80","Cyprus",2014,30037,86391096417.099,2409.22179409602,426902163444,"Cyprus 2014",0,0,1173.91,1173.91,5078995.34
"81","Czechia",2000,1983809,5498030249446.91,191000,108811149896088,"Czechia 2000",0,0,5296.56,7362.2184,98395536.18
"82","Czechia",2006,1802253,4800128157767.18,166755.080735644,107172455551632,"Czechia 2006",0,0,10336.18,12196.6924,81333276.25
"83","Czechia",2010,1789621,5044651034045.51,175249.735593874,116532841355064,"Czechia 2010",0,0,13549.93,14633.9244,71972221.09
"84","Czechia",2014,1750408,4974448583059.32,172810.922504457,152122648381380,"Czechia 2014",0,0,14742.62,14742.62,69236359.42
"85","Denmark",2000,1557082,5236331396751.75,181908.656628471,135151558958304,"Denmark 2000",0,0,22849.77,31761.1803,171667774
"86","Denmark",2006,1556900,4031892098914.77,140066.779547128,127148351421600,"Denmark 2006",0,0,35590.19,41996.4242,169583722.9
"87","Denmark",2010,1605400,4384767806278.45,152325.580799312,132081419214000,"Denmark 2010",0,0,39172.13,42305.9004,170364012.6
"88","Denmark",2014,1589400,4063485053770.69,141164.309772264,151039245427200,"Denmark 2014",0,0,38319.16,38319.16,163449783.1
"89","Dominican_Republic",2000,296002,808296803164.76,27300,14428031331744,"Dominican_Republic 2000",55.50645739,3466.064348,1802.63,2505.6557,29143954.12
"90","Dominican_Republic",2006,284509,375007926317.825,12665.7885425161,16177250874132,"Dominican_Republic 2006",55.50645739,3466.064348,3155.97,3724.0446,62608983.45
"91","Dominican_Republic",2010,312167,358461548063.686,12106.9392131987,17957404295244,"Dominican_Republic 2010",55.50645739,3466.064348,4060.46,4385.2968,60493827.77
"92","Dominican_Republic",2014,328365,474460802012.768,16024.781793314,17002474638840,"Dominican_Republic 2014",55.50645739,3466.064348,4566.33,4566.33,60261360.18
"93","Ecuador",2000,1138322,1717260607456.27,58000,42996423949524,"Ecuador 2000",41.67266981,711.0737179,4010.11,5574.0529,79145694.65
"94","Ecuador",2006,1145336,953359837309.349,32199.4636829462,52795509648912,"Ecuador 2006",41.67266981,711.0737179,5370.18,6336.8124,85587576.79
