"","X.2","X.1","X","Area","Item","Year","Area_harvested_ha","Production_t"
"650",3934,52545,52545,"Australia","Maize",2010,59000,328000
"651",3935,52549,52549,"Australia","Maize",2014,52360,390364
"652",3936,52591,52591,"Australia","Maize, green",2000,4234,45215
"653",3937,52597,52597,"Australia","Maize, green",2006,3786,44349
"654",3938,52601,52601,"Australia","Maize, green",2010,4979,61099
"655",3939,52605,52605,"Australia","Maize, green",2014,6422,76184
"664",3948,52759,52759,"Australia","Millet",2000,38961,56783
"665",3949,52765,52765,"Australia","Millet",2006,35000,35000
"666",3950,52769,52769,"Australia","Millet",2010,36327,36075
"667",3951,52773,52773,"Australia","Millet",2014,35252,35878
"716",4024,53808,53808,"Australia","Potatoes",2000,42162,1199622
"717",4025,53814,53814,"Australia","Potatoes",2006,35268,1249605
"718",4026,53818,53818,"Australia","Potatoes",2010,36379,1278118
"719",4027,53822,53822,"Australia","Potatoes",2014,29505,1171259
"728",4044,54081,54081,"Australia","Rapeseed",2000,1459000,1775000
"729",4045,54087,54087,"Australia","Rapeseed",2006,971704,1418941
"730",4046,54091,54091,"Australia","Rapeseed",2010,1694955,1907272
"731",4047,54095,54095,"Australia","Rapeseed",2014,2720835,3832049
"736",4052,54193,54193,"Australia","Rice, paddy",2000,133300,1100700
"737",4053,54199,54199,"Australia","Rice, paddy",2006,102128,1002654
"738",4054,54203,54203,"Australia","Rice, paddy",2010,18931,196684
"739",4055,54207,54207,"Australia","Rice, paddy",2014,76692,819276
"740",4060,54305,54305,"Australia","Rye",2000,35000,20000
"741",4061,54311,54311,"Australia","Rye",2006,35000,20000
"742",4062,54315,54315,"Australia","Rye",2010,51679,30359
"743",4063,54319,54319,"Australia","Rye",2014,49641,29270
"744",4072,54473,54473,"Australia","Sorghum",2000,622267,2115912
"745",4073,54479,54479,"Australia","Sorghum",2006,766680,1932447
"746",4074,54483,54483,"Australia","Sorghum",2010,497909,1507635
"747",4075,54487,54487,"Australia","Sorghum",2014,531996,1282042
"748",4076,54529,54529,"Australia","Soybeans",2000,56000,104800
"749",4077,54535,54535,"Australia","Soybeans",2006,23889,50149
"750",4078,54539,54539,"Australia","Soybeans",2010,31300,59600
"751",4079,54543,54543,"Australia","Soybeans",2014,37000,80000
"760",4088,54697,54697,"Australia","Sugar cane",2000,419000,38164688
"761",4089,54703,54703,"Australia","Sugar cane",2006,397745,37128107
"762",4090,54707,54707,"Australia","Sugar cane",2010,389471,31234824
"763",4091,54711,54711,"Australia","Sugar cane",2014,375216,30517650
"764",4092,54753,54753,"Australia","Sunflower seed",2000,162000,170000
"765",4093,54759,54759,"Australia","Sunflower seed",2006,77516,81996
"766",4094,54763,54763,"Australia","Sunflower seed",2010,26600,41000
"767",4095,54767,54767,"Australia","Sunflower seed",2014,27000,38000
"788",4140,55406,55406,"Australia","Wheat",2000,12141000,22108000
"789",4141,55412,55412,"Australia","Wheat",2006,12442719,25150343
"790",4142,55416,55416,"Australia","Wheat",2010,13881030,21834010
"791",4143,55420,55420,"Australia","Wheat",2014,12613226,25303037
"804",4580,61422,61422,"Austria","Barley",2000,223762,854667
"805",4581,61428,61428,"Austria","Barley",2006,206443,914052
"806",4582,61432,61432,"Austria","Barley",2010,168891,777961
"807",4583,61436,61436,"Austria","Barley",2014,145825,845705
"876",4704,63042,63042,"Austria","Maize",2000,187802,1851728
"877",4705,63048,63048,"Austria","Maize",2006,181196,1746185
"878",4706,63052,63052,"Austria","Maize",2010,201137,1955989
"879",4707,63056,63056,"Austria","Maize",2014,216316,2334385
"880",4708,63098,63098,"Austria","Maize, green",2000,348,6279
"881",4709,63104,63104,"Austria","Maize, green",2006,470,8037
"882",4710,63108,63108,"Austria","Maize, green",2010,584,9662
"883",4711,63112,63112,"Austria","Maize, green",2014,716,12471
"888",4716,63196,63196,"Austria","Millet",2000,1824,4100
