"","X.3","X.2","X.1","X","Area","Item","Year","Area_harvested_ha","Production_t","kj_t_crop","production_kj"
"274",274,5567,72429,72429,"Bangladesh","GROUNDNUTS, WITH SHELL",2006,29394,37980,17333352,658320708960
"275",275,5568,72433,72433,"Bangladesh","GROUNDNUTS, WITH SHELL",2010,33591,53467,17333352,926762331384
"276",276,5569,72437,72437,"Bangladesh","GROUNDNUTS, WITH SHELL",2014,29560,56439,17333352,978277053528
"277",277,5590,72761,72761,"Bangladesh","MAIZE",2000,4855,10000,14905008,149050080000
"278",278,5591,72767,72767,"Bangladesh","MAIZE",2006,98404,521525,14905008,7773334297200
"279",279,5592,72771,72771,"Bangladesh","MAIZE",2010,152009,887391,14905008,13226569954128
"280",280,5593,72775,72775,"Bangladesh","MAIZE",2014,307152,2124000,14905008,31658236992000
"281",281,5602,72929,72929,"Bangladesh","MILLET",2000,26041,19500,14235120,277584840000
"282",282,5603,72935,72935,"Bangladesh","MILLET",2006,20477,14150,14235120,201426948000
"283",283,5604,72939,72939,"Bangladesh","MILLET",2010,35871,11990,14235120,170679088800
"284",284,5605,72943,72943,"Bangladesh","MILLET",2014,18091,6369,14235120,90663479280
"285",285,5642,73486,73486,"Bangladesh","POTATOES",2000,243219,2933000,2805156,8227522548000
"286",286,5643,73492,73492,"Bangladesh","POTATOES",2006,373200,5368400,2805156,15059199470400
"287",287,5644,73496,73496,"Bangladesh","POTATOES",2010,435000,7930000,2805156,22244887080000
"288",288,5645,73500,73500,"Bangladesh","POTATOES",2014,461710,8950000,2805156,25106146200000
"289",289,5658,73710,73710,"Bangladesh","RAPESEED",2000,328609,249000,20682792,5150015208000
"290",290,5659,73716,73716,"Bangladesh","RAPESEED",2006,216814,183465,20682792,3794568434280
"291",291,5660,73720,73720,"Bangladesh","RAPESEED",2010,242101,221928,20682792,4590090662976
"292",292,5661,73724,73724,"Bangladesh","RAPESEED",2014,293920,296000,20682792,6122106432000
"293",293,5662,73766,73766,"Bangladesh","RICE, PADDY",2000,10801214,37627500,11723040,441108687600000
"294",294,5663,73772,73772,"Bangladesh","RICE, PADDY",2006,10579000,40773000,11723040,477983509920000
"295",295,5664,73776,73776,"Bangladesh","RICE, PADDY",2010,11529000,50061200,11723040,586869450048000
"296",296,5665,73780,73780,"Bangladesh","RICE, PADDY",2014,11319490,52325620,11723040,613415336284800
"297",297,5682,74046,74046,"Bangladesh","SORGHUM",2000,810,1000,14360724,14360724000
"298",298,5683,74052,74052,"Bangladesh","SORGHUM",2006,184,250,14360724,3590181000
"299",299,5684,74056,74056,"Bangladesh","SORGHUM",2010,196,251,14360724,3604541724
"300",300,5685,74060,74060,"Bangladesh","SORGHUM",2014,111,120,14360724,1723286880
"301",301,5686,74102,74102,"Bangladesh","SOYBEANS",2000,NA,NA,14025780,NA
"302",302,5687,74108,74108,"Bangladesh","SOYBEANS",2006,40600,61485,14025780,862375083300
"303",303,5688,74112,74112,"Bangladesh","SOYBEANS",2010,40681,69522,14025780,975100277160
"304",304,5689,74116,74116,"Bangladesh","SOYBEANS",2014,60893,112024,14025780,1571223978720
"305",305,5698,74270,74270,"Bangladesh","SUGAR CANE",2000,170374,6910000,1256040,8679236400000
"306",306,5699,74276,74276,"Bangladesh","SUGAR CANE",2006,152396,5510930,1256040,6921948517200
"307",307,5700,74280,74280,"Bangladesh","SUGAR CANE",2010,117500,4490812,1256040,5640639504480
"308",308,5701,74284,74284,"Bangladesh","SUGAR CANE",2014,107219,4508000,1256040,5662228320000
"309",309,5736,74789,74789,"Bangladesh","WHEAT",2000,832447,1840000,13983912,25730398080000
"310",310,5737,74795,74795,"Bangladesh","WHEAT",2006,479000,735000,13983912,10278175320000
"311",311,5738,74799,74799,"Bangladesh","WHEAT",2010,376256,901490,13983912,12606356828880
"312",312,5739,74803,74803,"Bangladesh","WHEAT",2014,429770,1303000,13983912,18221037336000
"313",313,5884,76644,76644,"Belarus","BARLEY",2000,736000,1377600,13900176,19148882457600
"314",314,5885,76650,76650,"Belarus","BARLEY",2006,680414,1830647,13900176,25446315493872
"315",315,5886,76654,76654,"Belarus","BARLEY",2010,679959,1965780,13900176,27324687977280
"316",316,5887,76658,76658,"Belarus","BARLEY",2014,545796,1988102,13900176,27634967705952
"317",317,5968,77167,77167,"Belarus","MAIZE",2000,13000,30000,14905008,447150240000
"318",318,5969,77173,77173,"Belarus","MAIZE",2006,38749,152631,14905008,2274966276048
"319",319,5970,77177,77177,"Belarus","MAIZE",2010,111668,550586,14905008,8206488734688
"320",320,5971,77181,77181,"Belarus","MAIZE",2014,111932,599455,14905008,8934881570640
"321",321,5972,77192,77192,"Belarus","MILLET",2000,12479,15899,14235120,226324172880
"322",322,5973,77198,77198,"Belarus","MILLET",2006,11713,16117,14235120,229427429040
"323",323,5974,77202,77202,"Belarus","MILLET",2010,10903,16502,14235120,234907950240
"324",324,5975,77206,77206,"Belarus","MILLET",2014,6947,10008,14235120,142465080960
"325",325,6016,77467,77467,"Belarus","POTATOES",2000,661000,8717800,2805156,24454788976800
"326",326,6017,77473,77473,"Belarus","POTATOES",2006,433922,8329412,2805156,23365300048272
"327",327,6018,77477,77477,"Belarus","POTATOES",2010,366766,7831111,2805156,21967488008316
"328",328,6019,77481,77481,"Belarus","POTATOES",2014,307943,6279715,2805156,17615580210540
"329",329,6030,77552,77552,"Belarus","RAPESEED",2000,110000,72600,20682792,1501570699200
"330",330,6031,77558,77558,"Belarus","RAPESEED",2006,107117,115042,20682792,2379389757264
"331",331,6032,77562,77562,"Belarus","RAPESEED",2010,307028,374522,20682792,7746160625424
"332",332,6033,77566,77566,"Belarus","RAPESEED",2014,400481,729622,20682792,15090620064624
"333",333,6038,77605,77605,"Belarus","RYE",2000,723000,1359900,13355892,18162677530800
"334",334,6039,77611,77611,"Belarus","RYE",2006,488081,1072024,13355892,14317836765408
"335",335,6040,77615,77615,"Belarus","RYE",2010,342542,734606,13355892,9811318398552
"336",336,6041,77619,77619,"Belarus","RYE",2014,319633,867075,13355892,11580560055900
"337",337,6050,77680,77680,"Belarus","SUNFLOWER SEED",2000,10000,20000,12895344,257906880000
"338",338,6051,77686,77686,"Belarus","SUNFLOWER SEED",2006,11000,20000,12895344,257906880000
"339",339,6052,77690,77690,"Belarus","SUNFLOWER SEED",2010,3847,2724,12895344,35126917056
"340",340,6053,77694,77694,"Belarus","SUNFLOWER SEED",2014,5325,5084,12895344,65559928896
"341",341,6088,77918,77918,"Belarus","WHEAT",2000,452000,965800,13983912,13505662209600
"342",342,6089,77924,77924,"Belarus","WHEAT",2006,381417,1075238,13983912,15036033571056
"343",343,6090,77928,77928,"Belarus","WHEAT",2010,602788,1739110,13983912,24319561198320
"344",344,6091,77932,77932,"Belarus","WHEAT",2014,741946,2925079,13983912,40904047329048
"345",345,6100,77969,77969,"Belgium","BARLEY",2000,48500,333400,13900176,4634318678400
"346",346,6101,77975,77975,"Belgium","BARLEY",2006,49008,367348,13900176,5106201853248
"347",347,6102,77979,77979,"Belgium","BARLEY",2010,40828,373400,13900176,5190325718400
"348",348,6103,77983,77983,"Belgium","BARLEY",2014,47200,399970,13900176,5559653394720
"349",349,6204,78409,78409,"Belgium","MAIZE",2000,35800,397400,14905008,5923250179200
"350",350,6205,78415,78415,"Belgium","MAIZE",2006,56500,575898,14905008,8583764297184
"351",351,6206,78419,78419,"Belgium","MAIZE",2010,62531,745891,14905008,11117511322128
"352",352,6207,78423,78423,"Belgium","MAIZE",2014,63100,662700,14905008,9877548801600
"353",353,6208,78426,78426,"Belgium","MAIZE, GREEN",2000,NA,NA,2344608,NA
"354",354,6209,78432,78432,"Belgium","MAIZE, GREEN",2006,NA,NA,2344608,NA
"355",355,6246,78584,78584,"Belgium","POTATOES",2000,65800,2921900,2805156,8196385316400
"356",356,6247,78590,78590,"Belgium","POTATOES",2006,67267,2592820,2805156,7273264579920
"357",357,6248,78594,78594,"Belgium","POTATOES",2010,81760,3455800,2805156,9694058104800
"358",358,6249,78598,78598,"Belgium","POTATOES",2014,81121,4380556,2805156,12288142946736
