"","X.2","X.1","X","Area","Item","Year","Area_harvested_ha","Production_t"
"435",1271,17457,17457,"Algeria","Grapes",2010,69224,560562
"436",1272,17461,17461,"Algeria","Grapes",2014,66417,518035
"437",1273,17478,17478,"Algeria","Groundnuts, with shell",2000,4020,3894
"438",1274,17484,17484,"Algeria","Groundnuts, with shell",2006,2718,2995
"439",1275,17488,17488,"Algeria","Groundnuts, with shell",2010,2524,3385
"440",1276,17492,17492,"Algeria","Groundnuts, with shell",2014,2255,3459
"441",1277,17534,17534,"Algeria","Lemons and limes",2000,2690,29281
"442",1278,17540,17540,"Algeria","Lemons and limes",2006,3283,47271
"443",1279,17544,17544,"Algeria","Lemons and limes",2010,4344,52136
"444",1280,17548,17548,"Algeria","Lemons and limes",2014,3858,85642
"449",1285,17646,17646,"Algeria","Maize",2000,430,1556
"450",1286,17652,17652,"Algeria","Maize",2006,374,2456
"451",1287,17656,17656,"Algeria","Maize",2010,139,359
"452",1288,17660,17660,"Algeria","Maize",2014,983,2572
"457",1293,17729,17729,"Algeria","Oats",2000,14660,8170
"458",1294,17735,17735,"Algeria","Oats",2006,75035,89000
"459",1295,17739,17739,"Algeria","Oats",2010,81670,101500
"460",1296,17743,17743,"Algeria","Oats",2014,64801,56580
"469",1305,17893,17893,"Algeria","Olives",2000,168080,217112
"470",1306,17899,17899,"Algeria","Olives",2006,263352,264733
"471",1307,17903,17903,"Algeria","Olives",2010,294200,311252
"472",1308,17907,17907,"Algeria","Olives",2014,383443,482860
"473",1309,17949,17949,"Algeria","Onions, dry",2000,26490,315741
"474",1310,17955,17955,"Algeria","Onions, dry",2006,38417,703873
"475",1311,17959,17959,"Algeria","Onions, dry",2010,42455,1001304
"476",1312,17963,17963,"Algeria","Onions, dry",2014,47982,1340877
"477",1313,18005,18005,"Algeria","Onions, shallots, green",2000,24,240
"478",1314,18011,18011,"Algeria","Onions, shallots, green",2006,28,280
"479",1315,18015,18015,"Algeria","Onions, shallots, green",2010,30,300
"480",1316,18019,18019,"Algeria","Onions, shallots, green",2014,31,338
"481",1317,18061,18061,"Algeria","Oranges",2000,27180,299583
"482",1318,18067,18067,"Algeria","Oranges",2006,30864,474453
"483",1319,18071,18071,"Algeria","Oranges",2010,46884,582496
"484",1320,18075,18075,"Algeria","Oranges",2014,42952,955206
"485",1321,18117,18117,"Algeria","Peaches and nectarines",2000,9930,59140
"486",1322,18123,18123,"Algeria","Peaches and nectarines",2006,15913,117504
"487",1323,18127,18127,"Algeria","Peaches and nectarines",2010,24213,156890
"488",1324,18131,18131,"Algeria","Peaches and nectarines",2014,19438,175174
"489",1325,18173,18173,"Algeria","Pears",2000,10940,74176
"490",1326,18179,18179,"Algeria","Pears",2006,20102,189430
"491",1327,18183,18183,"Algeria","Pears",2010,32744,234274
"492",1328,18187,18187,"Algeria","Pears",2014,25264,228114
"497",1333,18272,18272,"Algeria","Peas, green",2000,18720,47389
"498",1334,18278,18278,"Algeria","Peas, green",2006,25824,81501
"499",1335,18282,18282,"Algeria","Peas, green",2010,31109,125122
"500",1336,18286,18286,"Algeria","Peas, green",2014,35538,146937
"501",1337,18329,18329,"Algeria","Plums and sloes",2000,5920,26353
"502",1338,18335,18335,"Algeria","Plums and sloes",2006,12157,65651
"503",1339,18339,18339,"Algeria","Plums and sloes",2010,22882,90229
"504",1340,18343,18343,"Algeria","Plums and sloes",2014,16406,107191
"505",1341,18385,18385,"Algeria","Potatoes",2000,72690,1207690
"506",1342,18391,18391,"Algeria","Potatoes",2006,98825,2180961
"507",1343,18395,18395,"Algeria","Potatoes",2010,121996,3300312
"508",1344,18399,18399,"Algeria","Potatoes",2014,156176,4673516
"517",1353,18545,18545,"Algeria","Pumpkins, squash and gourds",2000,8580,94882
"518",1354,18551,18551,"Algeria","Pumpkins, squash and gourds",2006,11403,157505
