"","Country","Year","Area_harvested_ha","N_total_kj","N_total_t","production_kj","code_Area_Year","suitability","market","net_capital_stocks","net_capital_stocks14","Manure_kg","N_div_AreaH_kj_ha","production_div_AreaH_kj_ha","manure_area","netcap_area","netcap14_area","TFP","Nt_area"
"48","Bulgaria",2014,2971679,11185097718814.8,311923.129938754,171979716252204,"Bulgaria 2014",0,0,2419.21,2419.21,38435793.59,3763898.36143635,57872911.6611195,12.9340327774299,0.000814088601090495,0.000814088601090495,15.3757902322938,0.104965283914835
"49","Cambodia",2000,2040270,310389920140.802,10200,52000779646512,"Cambodia 2000",55.34789973,353.1302605,626.04,870.1956,58217232.68,152131.786548252,25487204.9515564,28.5340825871086,0.000306841741534209,0.00042651002073255,167.53372539586,0.00499933832286903
"50","Cambodia",2006,2817953,2810761635483.79,92366.9449991456,92038539285792,"Cambodia 2006",55.34789973,353.1302605,807.19,952.4842,66388657.24,997448.018289798,32661488.4229056,23.5591783255434,0.000286445515592347,0.000338005708398969,32.745053199771,0.0327780289448212
"51","Cambodia",2010,3347121,2639830550717.23,86749.8261705832,131663815137864,"Cambodia 2010",55.34789973,353.1302605,1251.79,1351.9332,66374489.69,788686.91951,39336437.2360198,19.830322743038,0.000373990064894577,0.000403909270086143,49.8758585478494,0.0259177442854869
"52","Cambodia",2014,3468110,3164753952068.3,103999.802237306,161333429186340,"Cambodia 2014",55.34789973,353.1302605,2142.78,2142.78,58859739.87,912529.865566058,46519121.131204,16.9717050122401,0.000617852374924671,0.000617852374924671,50.9781902889802,0.0299874577903544
"53","Canada",2000,22956938,42734869108225.3,1371000,863993563397244,"Canada 2000",52.90569057,6632.006585,23235.32,32297.0948,245259761.3,1861523.04406734,37635400.8272899,10.6834701256762,0.00101212626875588,0.00140685551357067,20.2175315246478,0.0597205080224549
"54","Canada",2006,21059147,39325128592948.9,1261610.30619738,877150502136288,"Canada 2006",52.90569057,6632.006585,31175.2,36786.736,259415413.7,1867365.69116256,41651758.3611667,12.3184198153895,0.00148036385329377,0.00174682934688665,22.305089227186,0.0599079490825236
"55","Canada",2010,20770970,52983628770949.5,1699795.89409788,950226785365140,"Canada 2010",52.90569057,6632.006585,38187.17,41242.1436,237131861.2,2550849.99742186,45747829.079005,11.4165039572057,0.00183848756220822,0.00198556656718487,17.9343470314767,0.0818351715927508
"56","Canada",2014,23894573,66550786038999.3,2135051.06166118,1122770999069064,"Canada 2014",52.90569057,6632.006585,42186.77,42186.77,238165634.1,2785184.15202478,46988535.8097449,9.96735259090003,0.00176553772272892,0.00176553772272892,16.8708901260927,0.0893529698840477
"57","Chile",2000,606105,1231690366727.25,41600,37462773806640,"Chile 2000",50.55634595,1766.421086,5296.21,7361.7319,103245198.4,2032140.25082659,61809049.2680971,170.34209980119,0.00873810643370373,0.0121459679428482,30.4157398796445,0.0686349724882652
"58","Chile",2006,588367,2749357907614.62,92858.7996191539,49448182643136,"Chile 2006",50.55634595,1766.421086,8494.14,10023.0852,123279593.4,4672862.18910071,84043093.2447537,209.528395372276,0.0144368055992263,0.0170354306070871,17.9853566922605,0.157824622419602
"59","Chile",2010,505729,2947447337717.4,99549.2150960336,48534760168308,"Chile 2010",50.55634595,1766.421086,12625.66,13635.7128,117502333.9,5828116.12092128,95969897.253881,232.342487577339,0.0249652679597176,0.026962489396495,16.4667098703432,0.196843003062972
"60","Chile",2014,511192,2141727429351.12,72336.249002048,45663140309292,"Chile 2014",50.55634595,1766.421086,15598.09,15598.09,164692225.3,4189673.21349145,89326789.7566707,322.172931696897,0.0305131731325999,0.0305131731325999,21.3207057459812,0.141505048987559
"61","China,_mainland",2000,112593430,528472345360189,13167300,6314546934889128,"China,_mainland 2000",54.92953288,1661.629198,60914.71,84671.4469,4588686976,4693633.94791498,56082730.0037767,40.7544825306414,0.000541014782123611,0.000752010547151819,11.9486799835956,0.116945544691196
"62","China,_mainland",2006,109650890,714709717237477,17807549.141227,6998938579577664,"China,_mainland 2006",54.92953288,1661.629198,108647.2,128203.696,4816914325,6518047.5711367,63829291.1218291,43.9295506402182,0.000990846494725214,0.00116919886377575,9.79270102361309,0.162402230763717
"63","China,_mainland",2010,117366980,726666594535987,18105464.0498025,7820094465315504,"China,_mainland 2010",54.92953288,1661.629198,248354.3,268222.644,5093851554,6191405.74747674,66629425.6298961,43.4010618148307,0.00211604916476508,0.00228533309794629,10.761598956271,0.15426369537499
"64","China,_mainland",2014,121155332,563504497141970,14040153.3407777,8753731096627548,"China,_mainland 2014",54.92953288,1661.629198,441490.93,441490.93,4921752354,4651091.18880521,72252132.466011,40.6234894721761,0.00364400743006507,0.00364400743006507,15.5344476237997,0.115885558720418
"65","Colombia",2000,1969051,3369383743595.23,113800,120785280540084,"Colombia 2000",37.82340166,1615.282682,7216.66,10031.1574,276717387.7,1711171.39352674,61341875.1165328,140.533377601697,0.00366504473474786,0.00509441218129952,35.8478848749957,0.0577943384909786
"66","Colombia",2006,2005055,1983323782746.18,66986.2098389792,134940775349664,"Colombia 2006",37.82340166,1615.282682,10555.52,12455.5136,271419848,989161.7849616,67300286.2014578,135.367781931169,0.00526445409228176,0.00621205582889247,68.0376933527315,0.0334086645199155
"67","Colombia",2010,1925663,1750265280466.87,59114.7236629683,132885993304296,"Colombia 2010",37.82340166,1615.282682,16067.48,17352.8784,310390040.3,908915.672403152,69007917.4311891,161.186064384059,0.00834386909859098,0.00901137862647826,75.9233441852024,0.0306983743588407
"68","Colombia",2014,2001976,2147179066383.14,72520.3765284611,158260306053960,"Colombia 2014",37.82340166,1615.282682,18073.19,18073.19,343638509.1,1072529.87367638,79052049.6019733,171.649664681295,0.00902767565645143,0.00902767565645143,73.7061517279715,0.0362243985584548
"69","Costa_Rica",2000,174902,556629300347.893,18800,13255635682692,"Costa_Rica 2000",59.11021155,3133.77,1395.03,1939.0917,26315903.77,3182521.07093054,75788931.4169764,150.460851048015,0.00797606659729449,0.0110867325702393,23.8141177160585,0.107488765137048
"70","Costa_Rica",2006,176188,198191746096.538,6693.87117114776,15523978859820,"Costa_Rica 2006",59.11021155,3133.77,2539.4,2996.492,31332940.17,1124887.8816749,88110307.5114083,177.838105716621,0.0144130133720798,0.0170073557790542,78.328079577332,0.0379927757347138
"71","Costa_Rica",2010,214815,243610275476.156,8227.8693846862,16233569530596,"Costa_Rica 2010",59.11021155,3133.77,4268.61,4610.0988,36068258.45,1134046.85648654,75569999.9096711,167.90381700533,0.0198710983869841,0.0214607862579429,66.6374581239078,0.0383021175648172
"72","Costa_Rica",2014,208401,282442538506.683,9539.41828180251,16281268905636,"Costa_Rica 2014",59.11021155,3133.77,5807.31,5807.31,39596015.38,1355283.98859258,78124715.8393482,189.999162096151,0.0278660371111463,0.0278660371111463,57.6445353866226,0.0457743402469398
"73","Croatia",2000,703487,2456307725205.41,68500,37068175317276,"Croatia 2000",56.04028958,8713.458704,NA,NA,34377663.12,3491617.79138123,52692054.4619531,48.8675172675543,NA,NA,15.0910144266131,0.0973720907422596
"74","Croatia",2006,677706,496989041456.605,13859.7248994649,49522638349728,"Croatia 2006",56.04028958,8713.458704,NA,NA,37729424.04,733340.182109359,73073926.3777036,55.6722591212119,NA,NA,99.6453326306434,0.0204509402299299
"75","Croatia",2010,659676,414267496946.379,11552.8373133517,49175101376424,"Croatia 2010",56.04028958,8713.458704,NA,NA,32446051.74,627986.309864811,74544323.8444691,49.184829734597,NA,NA,118.703740310066,0.0175128961995763
"76","Croatia",2014,600476,2554112709735,71227.5252899011,49495732256340,"Croatia 2014",56.04028958,8713.458704,NA,NA,32155130.24,4253480.08868797,82427494.6148389,53.5494012083747,NA,NA,19.3788363636761,0.118618438188872
"77","Cyprus",2000,57930,164744851564.989,4594.30315526042,1009755676800,"Cyprus 2000",0,0,860.56,1196.1784,6125052.051,2843860.72095614,17430617.5867426,105.731953236665,0.0148551700327982,0.0206486863455895,6.12920930279675,0.0793078397248476
"78","Cyprus",2006,58763,163580623003.581,4561.83586476662,1291849532928,"Cyprus 2006",0,0,1429,1686.22,6588355.168,2783735.05443189,21984063.6612835,112.117406667461,0.0243180232459201,0.0286952674301857,7.8973261576325,0.0776310920947981
"79","Cyprus",2010,36318,112595819856.592,3140.00301388606,1138646817216,"Cyprus 2010",0,0,1443.22,1558.6776,6710370.964,3100275.89230112,31352134.4021147,184.767084200672,0.0397384217192577,0.0429174954567983,10.1126917381679,0.0864585884103216
