Area;Year;fertilizer;Barley;Cassava;Groundnut;Maize;Millet;Oil_palm;Potato;Rapeseed;Paddy_rice;Rye; Sorghum ;Soy;Sugarcane;Sunflower;Wheat;Oil_crops_Nuts;Rapeseed_Mustard;Roots_Tubers_other_than_potato_Yam);Roots_tubers;Cereals_incl_pulses;Cereals;Oilseeds;Rye_oat_rice;Triticale;Cereals_other;Rye_Oat;Buckwheat_millet;Cereals_mixture;Sunflower_soya_linseed
Japan;1998;N  ;3.8;;0.5;;;;11;0.1;140.5;;;3.3;5.1;;19;;;3.7;;;;;;;1.4;;;;
Korea Republic;1996;N  ;11.4;;;;;;3.2;;115.5;;;;;;;;;;;;;;;;4.9;;;;
Kuwait;1999;N  ;0.1;;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;
Lithuania;1996;N  ;4.9;;;0.9;;;3.4;0.1;;;;;;0.1;14.9;;;;;;;;;;;4.5;;;
Moldova;1999;N  ;;;;0.1;;;;;;;;0.1;;;1.8;;;;;;;;;;0.1;;;;
Morocco;1998;N  ;;;;;;;;;;;;;1.4;2.9;;;;;;;57.6;0.2;;;;;;;
Netherlands;1999-2000;N  ;3;;;9;;;29;;;;;;;;28;;;;;;;;1;;;;;;
New Zealand;2000;N  ;3.6;;;2.4;;;1.7;0.1;;;;;;;5.3;;;;;;;;;;;;;;
Nigeria;1996;N  ;;9.8;3;24.8;10;;0.1;;10.1;;10.3;1.2;;;;;;;;;;;;;;;;;
Norway;1999-2000;N  ;18;;;;;;2;1;;;;;;;7;;;;;;;;9;;;;;;
Pakistan;1998-99;N  ;;;;51.2;;;;;126.5;;;;226.3;;894;;;;;;;;;;;;;;
Poland;1999-2000;N  ;69.9;;;23.1;;;65.9;50.3;;60.8;;;;;193.1;;;;;;;;;44.1;;;1.5;66.1;
Portugal;1999-2000;N  ;2;;;44;;;8;;;;;;;;21;;;;;;;;8;;;;;;
Saudi Arabia;1996;N  ;15;;;;;;4;;;;;;;;40;;;;;;;;;;;;;;
Slovakia;1999-2000;N  ;5.8;;;14.8;;;1;;;1.3;;;;3.2;25.8;;8.3;;;;;;;0.4;;;;;
South Africa;1999;N  ;2.3;;0.7;190.5;;;10.2;;;0.6;7.2;0.2;34.8;7.4;42;;;;;;;;;;;;;;
Spain;1999-2000;N  ;288;;;104;;;19;5;;;;;;;227;;;;;;;;51;;;;;;12
Sri Lanka;1998;N  ;;;;;;;;;85.2;;;;;;;;;;;;;;;;;;;;
Sweden;1999-2000;N  ;36;;;;;;3;6;;;;;;;47;;;;;;;;28;;;;;;1
Switzerland;1999-2000;N  ;6;;;8;;;3;3;;;;;;;14;;;;;;;;2;;;;;;
Syria;1995;N  ;58.9;;;2.4;;;0.8;;;;;;;;49.3;;;;;;;;;;;;;;
United Kingdom;1999-2000;N  ;126;;;6;;;26;74;;;;;;;384;;;;;;;;12;;;;;;5
Zambia;1996;N  ;;;;10.2;0.5;;;;;;;0.1;;;;;;;;;;;;;;;;;
