"","Area","Wheat","Rice","Maize","soya","Oil_Palm","Cereals","Oil_crops","sugarcane","Roots","sum_t","Region","kJ_t_N","N_total_kj"
"99","Bermuda",0,0,0,0,0,0,0,0,0.339496551919728,0.339496551919728,"Latin_America",29607941.5078667,10051794.0513617
"100","Bhutan",118.996291818227,907.282683985703,773.823978832478,5.05129172866737,0,47.1422399651524,0,32.5334465780297,19.1352601991119,1903.96519310737,"Other_Asia",30430384.3275296,57938392572.4964
"101","Bosnia_and_Herzegovina",2692.47218370101,0,5193.1576840086,21.8047426287475,0,165.683545186617,15.0482220440154,0,269.967658086568,8358.13403565556,"Central_European_countries",35858506.9373052,299710207300.481
"102","Botswana",7.52780889545737,0,2078.29151063337,0,0,453.055293171594,72.7223091054138,0,0,2611.59692180583,"Africa",29607941.5078667,77324008902.9518
"103","Brunei_Darussalam",0,16.0519244089778,0.948558425665617,0,0,0,0,0,0.864173041250214,17.8646558758936,"Other_Asia",30430384.3275296,543628344.182504
"104","Burkina_Faso",0,1401.05383700099,6025.86717142382,22.8935766235936,0,14472.0799218944,3059.7620925205,316.627217304426,24.0548738696579,25322.3386906374,"Africa",29607941.5078667,749742322794.781
"105","Burundi",232.818831818269,593.223293375267,2795.75114933024,6.17380100170457,12.2048875770779,358.562652701184,155.003145517756,190.451271208612,509.38679916494,4853.57583169505,"Africa",29607941.5078667,143704389328.822
"106","Cabo_Verde",0,0,764.488166958823,0,0,0,0,102.903845623938,2.7653537320007,870.157366314762,"Africa",29607941.5078667,25763568404.4868
"107","Cameroon",11.9513667000045,710.262759609424,7518.87317135771,51.7308398479191,570.324225737203,2455.06989948391,2637.09434855117,10686.1685840244,1026.82275294267,25668.2979482544,"Africa",29607941.5078667,759985464258.411
"108","Cayman_Islands",0,0,0,0,0,0,0,0,0.0185179937410761,0.0185179937410761,"Latin_America",29607941.5078667,548279.675528822
