"","Country","Year","Area_harvested_ha","production_kj","code_Area_Year","N_total_kj","N_total_t"
"140","Honduras",2014,606183,32294944183320,"Honduras 2014",527284773041.979,17808.8967415003
"141","Hungary",2000,3105930,153442314887904,"Hungary 2000",4484780695622.14,155800
"142","Hungary",2006,3403233,227550937937040,"Hungary 2006",10920151495699.2,379362.942917307
"143","Hungary",2010,3264596,197648004410244,"Hungary 2010",10978108450786.4,381376.350977906
"144","Hungary",2014,3539060,271273311012960,"Hungary 2014",11753721582784.8,408320.929579777
"145","India",2000,128262300,3801332220733152,"India 2000",204133811446759,5732200
"146","India",2006,128637300,3963186644635152,"India 2006",334667231155403,9397656.80576312
"147","India",2010,128241790,4419197425217520,"India 2010",458181358123007,12866007.65654
"148","India",2014,130199260,4862949395825160,"India 2014",454158173021549,12753034.2031217
"149","Indonesia",2000,20625584,1172436372925164,"Indonesia 2000",52288529389994.2,1718300
"150","Indonesia",2006,22297170,1592506420544520,"Indonesia 2006",55907999658536.8,1837242.64067076
"151","Indonesia",2010,26235990,2007687436589592,"Indonesia 2010",76982975528471.3,2529806.21933278
"152","Indonesia",2014,28547810,2380489951714524,"Indonesia 2014",77125853546820.8,2534501.46132551
"153","Iran_(Islamic_Republic_of)",2000,7370042,192687516762228,"Iran_(Islamic_Republic_of) 2000",16718804289753.8,564672.970774131
"154","Iran_(Islamic_Republic_of)",2006,9920284,338360501022300,"Iran_(Islamic_Republic_of) 2006",22428380260361.2,757512.31318807
"155","Iran_(Islamic_Republic_of)",2010,9425133,295062426045828,"Iran_(Islamic_Republic_of) 2010",17889281584692.6,604205.516278109
"156","Iran_(Islamic_Republic_of)",2014,8979523,269007311941416,"Iran_(Islamic_Republic_of) 2014",15937050895098.7,538269.467023377
"157","Ireland",2000,276719,29980099139688,"Ireland 2000",1008233276017.06,35025.7359421823
"158","Ireland",2006,271312,28455965691552,"Ireland 2006",671459885443.126,23326.3245746126
"159","Ireland",2010,273002,28125328862052,"Ireland 2010",686301757756.756,23841.9269782532
"160","Ireland",2014,306393,35880189364800,"Ireland 2014",667001819510.513,23171.4526378468
"161","Israel",2000,106136,4568036819580,"Israel 2000",435236740165.64,14700
"162","Israel",2006,131700,5861968490016,"Israel 2006",80098365751.6447,2705.30005371576
"163","Israel",2010,103300,5670739916928,"Israel 2010",51401293444.8554,1736.06440796292
"164","Israel",2014,107662,7812058177872,"Israel 2014",60028308988.2798,2027.43946154888
"165","Italy",2000,4578414,315936897160464,"Italy 2000",14801765497463.5,514209.104306024
"166","Italy",2006,4030443,299165839601760,"Italy 2006",13010728380859.3,451988.986600087
"167","Italy",2010,3666464,273956605844688,"Italy 2010",12378560676270.8,430027.661162024
"168","Italy",2014,3664876,292024375904520,"Italy 2014",12115287526155,420881.627147903
"169","Japan",2000,2287273,166012563581280,"Japan 2000",5495388862383.52,183313.809708738
"170","Japan",2006,2245683,152674890357744,"Japan 2006",2456144287786.28,81931.447958202
"171","Japan",2010,2171631,146796070835088,"Japan 2010",5943383016355.65,198257.886852035
"172","Japan",2014,2113635,150448281286752,"Japan 2014",5216024296625.96,173994.836269535
"173","Jordan",2000,36731,1087837780212,"Jordan 2000",47372706412.5867,1600
"174","Jordan",2006,69329,1328803778844,"Jordan 2006",28673739851.7184,968.447598564052
"175","Jordan",2010,50261,1746453239892,"Jordan 2010",19126701296.7118,645.999023323859
"176","Jordan",2014,68756,1852970037372,"Jordan 2014",25718759706.1774,868.643964976224
"177","Kenya",2000,2140112,47555819213904,"Kenya 2000",1015552393719.83,34300
"178","Kenya",2006,2666233,74505140390808,"Kenya 2006",1769107397770.96,59751.1109409925
"179","Kenya",2010,2823364,80476336170756,"Kenya 2010",1619551949420.4,54699.9172161324
"180","Kenya",2014,2954946,79851737246904,"Kenya 2014",1819047162993.39,61437.812639223
"181","Kuwait",2000,2062,167189097924,"Kuwait 2000",5921588301.57333,200
"182","Kuwait",2006,2914,312884336952,"Kuwait 2006",931802041.108487,31.4713551045388
"183","Kuwait",2010,3207,405399889080,"Kuwait 2010",994546455.814003,33.5905302822135
"184","Kuwait",2014,4279,927256080708,"Kuwait 2014",1493820777.54849,50.4533818114843
"185","Lao_People's_Democratic_Republic",2000,808570,28648682211492,"Lao_People's_Democratic_Republic 2000",352992458199.344,11600
"186","Lao_People's_Democratic_Republic",2006,908775,39748020518880,"Lao_People's_Democratic_Republic 2006",902212770242.281,29648.4185191861
"187","Lao_People's_Democratic_Republic",2010,1135639,55681899868440,"Lao_People's_Democratic_Republic 2010",921149986605.401,30270.7312760443
"188","Lao_People's_Democratic_Republic",2014,1333081,79075669779900,"Lao_People's_Democratic_Republic 2014",1258688295656.66,41362.8786974588
"189","Latvia",2000,406000,13387117154400,"Latvia 2000",73451024445.9384,2048.35702095349
"190","Latvia",2006,540400,18233601922800,"Latvia 2006",1735811517468.46,48407.2446324478
"191","Latvia",2010,570700,23986277683200,"Latvia 2010",1979049015049.6,55190.5024520336
"192","Latvia",2014,663000,33124554667728,"Latvia 2014",2395053266935.67,66791.7733195965
"193","Lebanon",2000,66299,2626840355472,"Lebanon 2000",106588589428.32,3600
"194","Lebanon",2006,92730,3883498997040,"Lebanon 2006",48855480160.2875,1650.080271447
"195","Lebanon",2010,55832,2451722253840,"Lebanon 2010",24645621665.7481,832.399025754625
"196","Lebanon",2014,72222,3912504142608,"Lebanon 2014",34958139900.5758,1180.70146454753
"197","Lithuania",2000,1027931,40292111256192,"Lithuania 2000",992429659557.908,27676.2683201804
"198","Lithuania",2006,988900,27725244994800,"Lithuania 2006",3085364863569.3,86042.7588065431
"199","Lithuania",2010,1094500,43389428691600,"Lithuania 2010",3697441704633.55,103111.981519424
"200","Lithuania",2014,1274300,73873724644800,"Lithuania 2014",4539956758017.95,126607.523451983
"201","Luxembourg",2000,26510,1929498293700,"Luxembourg 2000",68387080297.7795,2375.74763037906
"202","Luxembourg",2006,28940,2245485551868,"Luxembourg 2006",75065660123.1004,2607.75958534504
"203","Luxembourg",2010,28871,2263355567892,"Luxembourg 2010",79348746245.149,2756.55277348612
"204","Luxembourg",2014,26817,2206484211960,"Luxembourg 2014",71935323643.7417,2499.01259043398
"205","Madagascar",2000,1923968,47324171064276,"Madagascar 2000",68098265468.0933,2300
"206","Madagascar",2006,2089697,65582274266280,"Madagascar 2006",1786761306195.33,60347.3667941622
"207","Madagascar",2010,2165492,80505821877228,"Madagascar 2010",1572493104414.4,53110.5177979561
"208","Madagascar",2014,1755378,71084483341488,"Madagascar 2014",1448490765033.66,48922.3732304661
"209","Malawi",2000,2122881,62217296925876,"Malawi 2000",1015552393719.83,34300
"210","Malawi",2006,2612039,68031026571672,"Malawi 2006",1600907908323.05,54070.2199069698
"211","Malawi",2010,2722167,91420555380336,"Malawi 2010",1347449204653.9,45509.7225957398
"212","Malawi",2014,2735355,101097496674432,"Malawi 2014",1443207865463.18,48743.9447649451
"213","Malaysia",2000,4132623,470508588034344,"Malaysia 2000",10425449670611.7,342600
"214","Malaysia",2006,4850453,641742339241656,"Malaysia 2006",13286805597007.8,436629.569117454
"215","Malaysia",2010,5547748,672059614322556,"Malaysia 2010",13953706309132.7,458545.188221928
"216","Malaysia",2014,5317036,758829599206668,"Malaysia 2014",16903326862975.6,555475.299984416
"217","Malta",2000,4706,261720343044,"Malta 2000",13940750354.9261,484.297684258602
"218","Malta",2006,3920,226386556200,"Malta 2006",11786490122.1047,409.459299273312
"219","Malta",2010,4081,266305558932,"Malta 2010",12720015952.3429,441.889719894119
"220","Malta",2014,4398,277225905636,"Malta 2014",14343850069.5632,498.301253173748
"221","Mauritania",2000,211030,2429774797032,"Mauritania 2000",100667001126.747,3400
"222","Mauritania",2006,254445,2245627986804,"Mauritania 2006",79262070993.2562,2677.05443055528
"223","Mauritania",2010,293039,3673700458704,"Mauritania 2010",73563283441.1796,2484.57946398044
"224","Mauritania",2014,223913,4613006191680,"Mauritania 2014",96442539767.0637,3257.3199910382
"225","Mexico",2000,11011943,474621629806764,"Mexico 2000",24657493687751.4,832800
"226","Mexico",2006,10865372,543270441075948,"Mexico 2006",25388162116805,857478.123227834
"227","Mexico",2010,10967974,586841271376752,"Mexico 2010",26423464884122.5,892445.186609879
"228","Mexico",2014,11356231,623712621206700,"Mexico 2014",33823463542999.3,1142378.08575826
"229","Morocco",2000,5557066,33636868681608,"Morocco 2000",1825771416081.42,61664.9224194234
"230","Morocco",2006,5690142,135558968134572,"Morocco 2006",3612117813131.1,121998.275772444
"231","Morocco",2010,5178386,115777277694360,"Morocco 2010",3678585414899.87,124243.200558961
"232","Morocco",2014,4834873,103227746836500,"Morocco 2014",4126870397769.55,139383.901331778
"233","Myanmar",2000,8413652,281952950713776,"Myanmar 2000",4001595539070.15,131500
"234","Myanmar",2006,10735477,421017406704000,"Myanmar 2006",9922783609699.67,326081.442248587
"235","Myanmar",2010,11105932,458121411818316,"Myanmar 2010",8188864828858.74,269101.590723272
"236","Myanmar",2014,9730360,396216303215760,"Myanmar 2014",8427951366776.91,276958.426685145
"237","Netherlands",2000,391100,46833494558400,"Netherlands 2000",2006760479977.63,69714.2857142857
"238","Netherlands",2006,367020,40886861101200,"Netherlands 2006",1092451173954.81,37951.4416542834
"239","Netherlands",2010,365661,44500600931724,"Netherlands 2010",1130036740847.71,39257.1535094092
"240","Netherlands",2014,342727,43776255768408,"Netherlands 2014",1110383765306.89,38574.414754257
"241","New_Zealand",2000,145516,13176529488000,"New_Zealand 2000",387864033753.053,13100
"242","New_Zealand",2006,125115,12425785169040,"New_Zealand 2006",60184879601.6614,2032.727590524
"243","New_Zealand",2010,143585,14992847482680,"New_Zealand 2010",60769882428.2788,2052.48589849222
"244","New_Zealand",2014,150480,16487264071116,"New_Zealand 2014",672199115759.571,22703.3384128029
"245","Nicaragua",2000,549603,17611234019064,"Nicaragua 2000",453001505070.36,15300
"246","Nicaragua",2006,563905,21494335270104,"Nicaragua 2006",483460747391.538,16328.7524484972
"247","Nicaragua",2010,568607,23378328281304,"Nicaragua 2010",432604815254.364,14611.1074672119
"248","Nicaragua",2014,584515,24531819397920,"Nicaragua 2014",492920469559.106,16648.2519370062
"249","Nigeria",2000,27338414,571589907332256,"Nigeria 2000",2051830346495.16,69300
"250","Nigeria",2006,29186000,758947934880000,"Nigeria 2006",10831637433537.7,365835.545529561
"251","Nigeria",2010,26225427,673046282351304,"Nigeria 2010",9838443943033.55,332290.711274863
"252","Nigeria",2014,30229446,729378128575080,"Nigeria 2014",13124656844692.3,443281.63919147
"253","Norway",2000,255559,13758224555664,"Norway 2000",815939198709.037,28345.4946376666
"254","Norway",2006,264895,14074393772160,"Norway 2006",96773029335.8051,3361.86738968892
"255","Norway",2010,244248,13760156345184,"Norway 2010",71809738585.5439,2494.64980139363
"256","Norway",2014,228246,14492309429952,"Norway 2014",84064638320.3857,2920.38151678211
"257","Pakistan",2000,14306751,484271566994484,"Pakistan 2000",39498638857133.5,1298000
"258","Pakistan",2006,14602655,516398322481380,"Pakistan 2006",48965086030841.2,1609085.36362269
"259","Pakistan",2010,14943191,553543440003900,"Pakistan 2010",65645921780580.9,2157249.18469704
"260","Pakistan",2014,15744929,662375190463236,"Pakistan 2014",69250596031571.5,2275705.60023858
"261","Paraguay",2000,2071498,74299069821060,"Paraguay 2000",461883887522.72,15600
"262","Paraguay",2006,3762812,118244582087364,"Paraguay 2006",1434104915513.99,48436.4951590085
"263","Paraguay",2010,4659741,202132297819188,"Paraguay 2010",1685618071063.38,56931.2821229237
"264","Paraguay",2014,5486036,237513667184640,"Paraguay 2014",1958135120366.91,66135.46976397
"265","Philippines",2000,7191753,249825954988296,"Philippines 2000",9734679946376.73,319900
"266","Philippines",2006,7392865,312499305844920,"Philippines 2006",9938061906506.12,326583.515986533
"267","Philippines",2010,7506648,317191146005556,"Philippines 2010",10578993101523.2,347645.727627324
"268","Philippines",2014,8088630,385569003865392,"Philippines 2014",15816351843515.9,519755.244405745
"269","Poland",2000,7702960,312655261088556,"Poland 2000",16606074562666,463100
"270","Poland",2006,6249292,256001350340808,"Poland 2006",20588318597036.1,574154.373829133
"271","Poland",2010,5850971,316778230308060,"Poland 2010",20080141809871.4,559982.651954234
"272","Poland",2014,5981272,402225245593524,"Poland 2014",21354038446304.4,595508.298313694
"273","Portugal",2000,578130,23488133349636,"Portugal 2000",2261683880369.25,78570.2518086333
"274","Portugal",2006,345095,16835064268536,"Portugal 2006",1114537351847.19,38718.709163928
"275","Portugal",2010,257477,14325371079480,"Portugal 2010",894712097480.594,31082.042634448
"276","Portugal",2014,264008,19208229133428,"Portugal 2014",920184828244.1,31966.9580232491
"277","Republic_of_Korea",2000,1282407,91443745856196,"Republic_of_Korea 2000",4022309302649.44,132180.693459417
